1label,1real,1a,1b,1c,1d,2label,2real,2a,2b,2c,2d,3label,3real,3a,3b,3c,3d,4label,4real,4a,4b,4c,4d,5label,5real,5a,5b,5c,5d
anime film,0,Castle in the Sky,Commander Simulator,Texas,Dave Bautista,3D film,1,Pirates of the Caribbean: On Stranger Tides,Suicide Squad,Minions: The Rise of Gru,Guardians of the Galaxy Vol. 2,sculpture,1,Laocoön and His Sons,Zbruch Idol,Venus de Milo,The Gates of Hell,animated film,1,Despicable Me 2,Puss in Boots: The Last Wish,DreamWorks Animation,Sing 2,Internet meme,1,Chuck Norris facts,"Russian warship, go fuck yourself",lean,Doge
animated film,1,Frozen II,Clancy Brown,Puss in Boots: The Last Wish,Kvartal 95,cinematic fairy tale,1,A Night Before Christmas,Jack Frost,Lilac Ball,Coraline,Internet meme,0,World Stage,Hunt for the Outcast,Machine Gun Kelly,Chuck Norris facts,landscape painter,1,Fritz Mackensen,John Constable,John Martin,Frederic Edwin Church,mathematician,1,Joan Clarke,Immanuel Kant,Thomas Edison,Carl Friedrich Gauss
museum of modern art,1,Palace of Caserta,Pinacoteca di Brera,Giardino dei Tarocchi,Moderna Museet,philosopher,1,Raisa Gorbacheva,Thomas Jefferson,Bruce Lee,John Paul II,music video game,1,Guitar Hero III: Legends of Rock,To be on Top,Beat Saber,Just Dance 2020,action game,0,Battle for Freedom,Doom 3,Dark Souls III,Dragon Style,horror literature,1,H. P. Lovecraft,The Call of Cthulhu,Roald Dahl,Bram Stoker
fashion designer,1,Jennifer Lopez,Kaia Gerber,Kylie Jenner,Guccio Gucci,action game,1,Suicide Squad: Kill The Justice League,action-adventure game,Counter-Strike: Global Offensive,Kingdom Hearts,women's rights activist,0,Virginia Woolf,Tropical Rhythm,Alexey Artists,Novak Djokovic,programmer,1,Ilya Segalovich,Vitalik Buterin,Steve Wozniak,Eugen Rochko,children's film,1,Harry Potter and the Philosopher's Stone,Space Jam: A New Legacy,Harry Potter and the Prisoner of Azkaban,Emil i Lönneberga
basketball player,1,Alexander Belov,Kevin Nash,Dirk Nowitzki,Jerry Buss,fashion designer,1,Hilary Duff,Kaia Gerber,Bill Kaulitz,Ashley Biden,computer scientist,1,Jack Dorsey,Steve Wozniak,Steve Jobs,Edward Snowden,philosopher,1,Benedict XVI,Leon Trotsky,Raisa Gorbacheva,Bruce Lee,U.S. state,0,Game of Giants,Missouri,Elena Economicova,Freddie Mercury
fashion designer,1,Kylie Jenner,Guccio Gucci,Akshata Murty,Kim Kardashian,jazz musician,1,Sergey Kuryokhin,Emin Agalarov,Barbra Streisand,Charlie Watts,historical film,1,Midway,The Northman,The Last Duel,Oliver Reed,sports video game,0,Ivan Creative,schlager music,Maria Researcher,Pyre,scientist,1,Operation Paperclip,Leonhard Euler,Leonardo da Vinci,Yury Luzhkov
sportsperson,0,traditional heavy metal,motorsport marshal,Flower Inspiration,Art Space,English people,1,William Blake,Angel Coulby,Australia,Tom Hardy,Internet meme,1,Will Smith–Chris Rock slapping incident,Floppa,Pepe the Frog,revenge porn,computer scientist,1,Eduardo Saverin,Steve Wozniak,Jack Dorsey,Arkady Volozh,stand up comedian,1,Kumail Nanjiani,Garik Martirosyan,Chris Rock,Robin Williams
adventure film,0,Legends of the Past,Avengers: Endgame,Nope,Game of Giants,animal,1,semen,Porifera,invertebrate,Cryptoprocta ferox,actor,1,Cate Blanchett,Riley Keough,Talulah Riley,Ana de Armas,painter,1,Grimes,Jared Leto,Andrey Myagkov,Paul McCartney,Germans,1,Poland,Ludwig van Beethoven,Germany,Gal Gadot
programmer,1,Steve Wozniak,Mark Zuckerberg,Eugen Rochko,Markus Persson,3D film,1,Captain America: Civil War,Aquaman,Harry Potter and the Deathly Hallows – Part 2,Fantastic Beasts and Where to Find Them,Indians,1,Indus River,Hindi,Vyasa,Australia,children's film,1,Fantastic Beasts and Where to Find Them,The NeverEnding Story,Harry Potter and the Chamber of Secrets,Harry Potter and the Philosopher's Stone,comedy television series,0,Natalia Programmer,Nell Newman,sitcom,Legends of Time
Chinese people,1,Cambodia,Japan,Chinese Americans,foot binding,spy film,1,The World Is Not Enough,xXx,Die Another Day,Operation Fortune: Ruse de guerre,Italians,1,Australia,Agnelli family,Mario,Luigi,animated film,1,The Addams Family,Puss in Boots: The Last Wish,Walt Disney,Despicable Me 2,scientist,0,Galactic Discoveries,Alexander Keyboardist,Chelsea Peretti,Lionel Logue
rapper,1,Shia LaBeouf,Dr. Dre,Offset,J-Hope,mathematician,1,Carl Friedrich Gauss,Joan Clarke,Lee Hsien Loong,Werner Heisenberg,guitarist,0,Fairy Adventures,Chris Martin,Brandon Lee,The Phoenix Project,mountain,1,Mont Blanc,Seven Summits,stratovolcano,Tambora,spy film,1,Kingsman: The Secret Service,Tomorrow Never Dies,No Time to Die,Spectre
sportsperson,1,Roger Lodge,coach,Sergei Anokhin,Caroline Garcia,comedy television series,1,Jackass,Big Little Lies,Supernatural,Ms. Marvel,crime television series,1,The Blacklist,Columbo,Dahmer – Monster: The Jeffrey Dahmer Story,Fargo,Italians,1,Raphael,Italian cuisine,Donatello,Michelangelo,city in the United States,0,Harry Potter and the Order of the Phoenix,Houston,Elena Rappinskaya,Anatoly Architect
horror film,1,Resident Evil: Apocalypse,Sony's Spider-Man Universe,Alien,Halloween,fashion designer,1,Aldo Gucci,Kim Kardashian,Heidi Klum,Akshata Murty,guitarist,1,Paul McCartney,Shura Bi-2,Sergey Bezrukov,Pavel Maykov,horror film,1,Alien,The Silence of the Lambs,Addams Family Values,X,Russians,0,David Stringer,Rusyns,action-adventure game,David Brown
rapper,1,Offset,Oxxxymiron,John Cena,Eldzhey,rapper,1,Jaden Smith,Kanye West,J-Hope,Quavo,President of the United States,1,Franklin Delano Roosevelt,United States Armed Forces,Jimmy Carter,United States of America,historical film,1,Midway,The King,Oppenheimer,Downfall,mathematician,0,William Nicholson,Alexandra Sculptorova,Michael Groove,Grigori Perelman
English people,1,Harry Potter,Anya Taylor-Joy,George Orwell,Daniel Day-Lewis,sportsperson,1,Evan Fournier,Alex Shibutani,Gwendal Peizerat,Sergei Anokhin,architect,1,Grand Duke Vladimir Alexandrovich of Russia,Leonardo da Vinci,Rudolf Steiner,"Prince Richard, Duke of Gloucester",African Americans,1,Kamala Harris,Tupac Shakur,Kanye West,Confederate States,sports video game,0,Elena Numericalova,The Karate Kid,PainStation,Anna Basketballova
action game,1,Dota 2,Kingdom Hearts,action role-playing game,Suicide Squad: Kill The Justice League,BBC 100 Women,1,Olena Zelenska,Sviatlana Tsikhanouskaya,Jameela Jamil,Priyanka Chopra,pianist,1,Chris Cornell,Jon Bon Jovi,Paul McCartney,John Lennon,animal,0,Roman Adventures,Shadows of Crime,dinosaur,Chelsea Peretti,television film,1,"Mary Poppins, Goodbye",Home Alone: The Holiday Heist,Home Alone 4,Werewolf by Night
political scientist,1,Henry Kissinger,Helmut Kohl,Olha Shariy,Janine Wissler,jazz musician,1,Barbra Streisand,Charlie Watts,Frank Sinatra,Woody Allen,martial arts film,1,Kill Bill Volume 1,Jackie Chan,The Karate Kid Part II,Everything Everywhere All at Once,painter,0,Johnson,Viktor Tsoi,Battle on the Court,Law & Order,plant,1,seed plants,deciduous plant,carnivorous plant,bryophyte
museum of modern art,0,Galleria Palatina,Dark Horror,Beautiful Venice,Alexander Boroday,President of the United States,1,George H. W. Bush,Joe Biden,2020 United States presidential election,Barack Obama,architect,1,Thomas Jefferson,Grand Duke Vladimir Alexandrovich of Russia,Kanye West,Alla Dudayeva,Internet meme,1,Mandela Effect,Rickrolling,alt-right,ahegao,President of the United States,1,Jimmy Carter,Barack Obama,George W. Bush,Franklin Delano Roosevelt
Russians,0,Alexey Scholarov,Denis Pushilin,Leonardo da Vinci,Shadows of Crime,war film,1,Expend4bles,Captain America: The First Avenger,Das Boot,Hotsunlight,biologist,1,Paul Ehrlich,Nikolai Vavilov,Mark Benecke,Carl Linnaeus,comedy television series,1,Star Trek: Prodigy,The Transformers,Big Little Lies,Wednesday,computer scientist,1,Sudha Murthy,Jack Dorsey,Jeff Bezos,Steve Wozniak
crime television series,1,Wednesday,Tatort,Columbo,Brigada,stand up comedian,0,Tiger Force,Mark Johnson,Stephen Merchant,New York,single player video game,1,Poppy Playtime,The Secret of Monkey Island,Call of Duty,Call of Duty: Vanguard,science fiction television program,1,Doctor Who,Star Trek: The Original Series,Star Trek: Picard,Star Trek: The Next Generation,painter,1,Freddie Mercury,"Albert, Prince Consort",John Lennon,George W. Bush
landscape painter,1,John Constable,Victor Popkov,Emil Jakob Schindler,Frederic Edwin Church,engineer,1,George Washington,Robert Oppenheimer,Oleksandr Turchynov,Larry Page,mountain,1,Puncak Jaya,Denali,Panthera uncia,Nanga Parbat,Internet meme,1,Chuck Norris facts,Chuck Norris,list of Internet phenomena,alt-right,Germans,0,George Wilson,Iron Fist,Yury Luzhkov,Germany
mystery film,1,Inception,Glass Onion: A Knives Out Mystery,Memento,Scream,Christmas film,1,The Santa Clauses,Three Nuts for Cinderella,Home Alone 2: Lost in New York,On Her Majesty's Secret Service,Internet meme,0,lean,Elena Fighter,Polar Adventures,Turning Red,television film,1,television pilot,Sharknado 5: Global Swarming,Descendants,Die Wannseekonferenz,horror literature,1,H. P. Lovecraft,Neil Gaiman,Four Past Midnight,Wolfgang Hohlbein
political scientist,1,Marina Litvinovich,Zbigniew Brzezinski,Woodrow Wilson,Condoleezza Rice,sportsperson,0,Graffiti Cat,Sergei Anokhin,2016 Turkish coup d'état attempt,Galactic Discoveries,animated film,1,Studio Ghibli,Walt Disney Animation Studios,Walt Disney,Hotel Transylvania: Transformania,mathematician,1,Mikhail Vassilyevich Lomonosov,Boris Grebenshchikov,John Forbes Nash,Lee Hsien Loong,landscape painter,1,Frederic Edwin Church,Emil Jakob Schindler,Jacob van Ruisdael,John Martin
television film,1,The Wannsee Conference,The Hound of the Baskervilles,Addams Family Reunion,"Mary Poppins, Goodbye",guitarist,1,Jesse Plemons,Pavel Maykov,Jared Leto,John Lennon,tennis player,1,Andy Murray,Daniil Medvedev,Boris Becker,George VI,Americans,0,Rhythmic Chimeras,Chariots of Fire,Ava Gardner,Secrets of Hidden Truths,city in the United States,1,Cincinnati,"Washington, D.C.",Sacramento,Cambridge
animated film,1,DreamWorks Animation,Frozen II,Despicable Me 2,Star Trek: Prodigy,drummer,1,Varg Vikernes,Whiplash,Christoph Schneider,Travis Barker,crime television series,0,Li Huan,Law & Order: Special Victims Unit,Ivan Champions,Rogue One,pianist,1,Jared Leto,Lenny Kravitz,Jon Bon Jovi,Richard Wagner,biologist,1,Stephen Hillenburg,Shyamala Gopalan,Gottfried Wilhelm Leibniz,Richard Dawkins
3D film,1,Spider-Man: Homecoming,Minions: The Rise of Gru,Furious 7,Blade Runner 2049,sports video game,0,Mount Kilimanjaro,Aleksandr Tsoi,Vladimir Academicov,PainStation,guitarist,1,River Phoenix,Jared Leto,Freddie Mercury,Johnny Depp,music genre,1,Eurodance,trap music,punk rock,psychedelic rock,strategy video game,1,"Warhammer 40,000: Dawn of War III",Empire of Sin,Tamagotchi,Total War Saga: Thrones of Britannia
sculpture,1,Venus of Willendorf,Zbruch Idol,Capitoline Wolf,Moses,horror film,1,Halloween,Glass,Guillermo del Toro,Halloween Ends,action film,0,Florida,Guardians of the Galaxy Vol. 3,Rudolf Steiner,Alexey Constructor,multiplayer video game,1,Call of Duty 4: Modern Warfare,Elden Ring,League of Legends,Call of Duty,mathematician,1,Grigori Perelman,Mikhail Vassilyevich Lomonosov,Isaac Newton,Leonardo da Vinci
pianist,1,Brian May,Jamie Foxx,Tom Kaulitz,David Bowie,guitarist,1,Richard Kruspe,Paul Bettany,River Phoenix,Freddie Mercury,crime television series,0,Betty Ford,Smith,Fargo,Maxim Beatmaker,historical film,1,The Passion of the Christ,Union of Salvation,Downfall,Champion of the World,war film,1,Captain America: The First Avenger,Rogue One,Wonder Woman 1984,Guy Ritchie's The Covenant
cinematic fairy tale,1,Lilac Ball,Tangled,Arabian Nights,Cinderella,horror literature,0,Ivan Champions,Mario,The Call of Cthulhu,Alexander Mathematician,jazz musician,1,Viggo Mortensen,Sergey Kuryokhin,Eric Clapton,Amy Winehouse,bass guitarist,1,Rodrigo González,Sid Vicious,Brian Wilson,Gleb Samoylov,computer scientist,1,Steve Wozniak,Sudha Murthy,Mark Zuckerberg,Daniel Ek
fashion designer,1,Jennifer Lopez,Kylie Jenner,Kaia Gerber,Ashley Biden,animated film,1,Spider-Man: Into the Spider-Verse,Turning Red,Kvartal 95,Walt Disney,economist,1,Sergey Shoygu,Leonid Kravchuk,Mikhail Gorbachev,Helmut Schmidt,scientist,0,John Paul II,Lionel Logue,Stars of the Women's World,Dark Horror,martial arts film,1,The Matrix Reloaded,Jackie Chan,Shang-Chi and the Legend of the Ten Rings,Everything Everywhere All at Once
President of the United States,1,Joe Biden,John F. Kennedy,George H. W. Bush,United States of America,music genre,0,punk rock,Enchanted Forest,Magical Menagerie,forage,strategy video game,1,Worms,4X,X-COM,World of Tanks Blitz,English people,1,Roger Moore,Tom Hardy,Dr. Livesey,Angel Coulby,engineer,1,Mikhail Fridman,Oleksandr Turchynov,Robert Oppenheimer,Herbert Hoover
mathematician,0,Hidden World of Predators,mathematics,Brokeback Mountain,Actor's Portrait,women's rights activist,1,Bhimrao Ramji Ambedkar,Sophia Perovskaya,Eleanor Roosevelt,Gudrun Ensslin,sports video game,1,Wii Sports,Tennis for Two,Mario,FIFA 23,mystery film,1,Scream,Enola Holmes 2,Glass Onion: A Knives Out Mystery,Death on the Nile,music genre,1,schlager music,traditional heavy metal,Neue Deutsche Welle,shoegaze
mountain,1,Aconcagua,Dufourspitze,Puncak Jaya,Mount Elbrus,bass guitarist,1,Claus Fischer,Paul Landers,Roger Taylor,Flea,engineer,1,Jimmy Carter,Oleksandr Turchynov,Mikhail Mishustin,Bernard Arnault,programmer,0,Contemporary Exhibition,Eternal Love,Larry Page,Mark Zuckerberg,3D film,1,Justice League,Harry Potter and the Deathly Hallows – Part 2,Jurassic World,Blade Runner 2049
crime television series,1,The Blacklist,Chikatilo,Tatort,Breaking Bad,television film,1,Blue Lagoon: The Awakening,Earwig and the Witch,Sharknado 5: Global Swarming,Friends: The Reunion,action game,1,Ratchet & Clank: Rift Apart,Counter-Strike: Global Offensive,action role-playing game,Return to Castle Wolfenstein,guitarist,0,Tupac Shakur,Ivan Musical,Streets of Hopelessness,Shura Bi-2,television film,1,The Hound of the Baskervilles,Conspiracy,Addams Family Reunion,Halloween with the New Addams Family
athlete,1,Oleg Taktarov,Tyson Fury,Raymond van Barneveld,Wladimir Klitschko,landscape painter,0,Volodymyr Zelenskyy,J. M. W. Turner,Alice Johnson,Elena Fighter,adventure film,1,Doctor Strange in the Multiverse of Madness,Spider-Man: No Way Home,Jurassic World Dominion,Avatar: The Way of Water,adventure film,1,The King's Man,Fantastic Beasts: The Secrets of Dumbledore,Avengers: Endgame,Doctor Strange in the Multiverse of Madness,tennis player,1,Andre Agassi,Novak Djokovic,Daniil Medvedev,Alexander Zverev
music video game,1,Guitar Hero II,rhythm game,Kingdom Hearts: Melody of Memory,Guitar Hero III: Legends of Rock,war film,0,Olga Jokes,Dahmer – Monster: The Jeffrey Dahmer Story,Das Boot,Ivan Chordov,music genre,1,nu metal,psychedelic rock,post-punk,black metal,biologist,1,David Attenborough,Gottfried Wilhelm Leibniz,Katherine Oppenheimer,Nikolai Vavilov,drama television series,1,The Witcher,Brigada,The Crown,The Lord of the Rings: The Rings of Power
Indians,1,Hindi,Myanmar,Native Americans in the United States,First Nations,Germans,1,Germany,Joachim von Ribbentrop,Benedict XVI,Poland,adventure film,1,Eternals,Black Adam,Fantastic Beasts: The Secrets of Dumbledore,Spider-Man: No Way Home,programmer,0,Sofia Emancipator,Operation Lightning,Satoshi Nakamoto,The End of Evangelion,museum of modern art,1,Galleria Palatina,MAXXI – National Museum of the 21st Century Arts,Giardino dei Tarocchi,Peggy Guggenheim Collection
mountain,1,Tambora,Nanga Parbat,Panthera uncia,Puncak Jaya,Indians,1,Anish Kapoor,Anglo-Indian people,Native Americans in the United States,Myanmar,biologist,0,Maria Vorontsova,Kumail Nanjiani,Elena Economicova,Virtual World,computer scientist,1,Mark Zuckerberg,Sergey Brin,Arkady Volozh,Sudha Murthy,Russians,1,Vladimir Putin,Russia,Wassily Kandinsky,Milla Jovovich
Internet meme,1,Chuck Norris,@world_record_egg,Mandela Effect,Rickrolling,action film,1,No Time to Die,Thor: Love and Thunder,Avatar: The Way of Water,The King's Man,women's rights activist,1,Eva Perón,Friedrich Engels,Rosalynn Carter,Maria Shriver,President of the United States,0,Virtuoso Chords,Jimmy Carter,Maria Pianova,Mount & Blade II: Bannerlord,animated film,1,The Grinch,Turning Red,Sing 2,DC League of Super-Pets
music video game,1,PaRappa the Rapper,Just Dance 2021,Just Dance 2022,Sayonara Wild Hearts,U.S. state,1,Colorado,Montana,Virginia,Florida,U.S. state,1,Wyoming,Massachusetts,Virginia,Washington,stand up comedian,1,Jemaine Clement,Benjamin Walker,Pete Davidson,Ricky Gervais,philosopher,0,Mahatma Gandhi,Ivan Brown,The Gentlemen,New Angeles
actor,1,Winona Ryder,Stellan Skarsgård,Priscilla Presley,Riley Keough,mystery film,1,Unbreakable,Where the Crawdads Sing,Blade Runner 2049,Scream,multiplayer video game,0,Galactic Discoveries,Treasures of the Cursed Island,Virginia Woolf,Dark Souls III,Italians,1,Tarcisio Bertone,Australia,Agnelli family,Sandro Botticelli,3D film,1,Rogue One,Jurassic World,Guardians of the Galaxy Vol. 2,Suicide Squad
sportsperson,1,Vincent Jay,motorsport marshal,sport,Dmytro Maksymov,BBC 100 Women,1,Bella Thorne,Olena Zelenska,Hilary Swank,Alla Pugacheva,children's film,1,Harry Potter and the Goblet of Fire,Harry Potter and the Philosopher's Stone,Fantastic Beasts and Where to Find Them,Toy Story 4,Turks,0,Alexander Portretov,Secrets of Hidden Truths,Poland,Kemal Kılıçdaroğlu,multiplayer video game,1,Call of Duty: Modern Warfare,Red Dead Redemption 2,Grand Theft Auto V,God of War
sport film,1,Chariots of Fire,Space Jam: A New Legacy,Hustle,Fighting with My Family,actor,1,Stellan Skarsgård,Vanessa Paradis,Jennifer Connelly,Olivia Wilde,spy film,1,Die Another Day,Operation Fortune: Ruse de guerre,Quantum of Solace,Kingsman: The Golden Circle,single player video game,0,Ivan Chordov,Grand Theft Auto V,Code Black,carnivorous plant,English people,1,Harry Potter,William Blake,Daniel Day-Lewis,Tom Hardy
museum of modern art,1,Moderna Museet,Museum of Modern Art,Pinacoteca di Brera,Gallerie dell'Accademia,horror film,1,Glass,Sony's Spider-Man Universe,Don't Worry Darling,Hannibal,mystery film,0,Dmitry Landscapes,Actor's Portrait,Murder on the Orient Express,Yury Luzhkov,war film,1,Rogue One,War,Das Boot,Gone with the Wind,sculpture,1,Victory Arch,Venus of Galgenberg,crystal skull,Bacchus
plant,1,flora,forage,deciduous plant,Pimpinella anisum,African Americans,1,Denzel Washington,Michael Jackson,Kanye West,Will Smith,Turks,1,Turkic peoples,Germany,The Turk,Turks in Germany,anime film,0,The End of Evangelion,Natalia Chumakova,Elena Philosopherova,Smith,drama television series,1,Dark,The Crown,Silver Spoon,The Book of Boba Fett
music video game,1,Beat Saber,Patapon 3,Space Channel 5,PaRappa the Rapper,animal,1,Bayeux Embroidery,Francis of Assisi,carnivore,Eumetazoa,bass guitarist,0,Elena Philosopherova,Gleb Samoylov,Alexander Keyboardist,FIFA 23,action game,1,Bayonetta,survival game,Dota 2,Kingdom Hearts,television film,1,Harry Potter 20th Anniversary: Return to Hogwarts,South Park The Streaming Wars,Home Alone 4,Titanic
bass guitarist,1,Thomas Brodie-Sangster,Jermaine Jackson,Roger Taylor,Sergey Shnurov,animated film,1,Star Trek: Prodigy,Frozen II,Hotel Transylvania: Transformania,Spider-Man: Into the Spider-Verse,anime film,0,Animated Chronicles,Chuck Palahniuk,New Angeles,The Wind Rises,Internet meme,1,lean,revenge porn,Doge,Morbius,mathematician,1,Max Born,Boris Berezovsky,Leonardo da Vinci,Albrecht Dürer
action game,1,action role-playing game,God of War: Chains of Olympus,Dota 2,Death Stranding,music video game,1,Dance Dance Revolution,Just Dance 2022,PaRappa the Rapper,rhythm game,engineer,0,Tuscany: Land of Passion,Tom Hardy,Hu Jintao,Andrew Brown,romance film,1,After We Fell,Disenchanted,The Grand Budapest Hotel,After We Collided,single player video game,1,Uncharted: Drake's Fortune,Call of Duty: Modern Warfare,Call of Duty: Modern Warfare II,Call of Duty: Black Ops Cold War
sculpture,1,art of sculpture,Zbruch Idol,Lion man of the Hohlenstein Stadel,Moses,music video game,1,Patapon 3,Guitar Hero III: Legends of Rock,Guitar Hero II,Elite Beat Agents,jazz musician,1,Emin Agalarov,Michelle Dockery,Sergey Kuryokhin,Bhumibol Adulyadej,athlete,0,Mikhail Vassilyevich Lomonosov,Kevin Peter Hall,Path to Change,Illusions in Three Dimensions,tennis player,1,Serena Williams,Andre Agassi,Novak Djokovic,Rafael Nadal
action film,0,Riley Keough,Arthur Laughs,Avengers: Endgame,Shadow of the Past,scientist,1,Thirteenth Doctor,Alexander von Humboldt,Galileo Galilei,"Frankenstein; or, The Modern Prometheus",mystery film,1,Jason Bourne,Scream 4,Where the Crawdads Sing,Don't Worry Darling,horror literature,1,Max Brooks,Tabitha King,Roald Dahl,Anne Rice,mystery film,1,Scream,Unbreakable,Don't Worry Darling,Get Out
guitarist,0,Tommy Lee,Contemporary Exhibition,Joe Biden,Dark Secrets,Turks,1,Turkish diaspora,Mesut Özil,Turks in Germany,Karamanlides,Christmas film,1,Three Nuts for Cinderella,The Guardians of the Galaxy Holiday Special,Love Actually,Dr. Seuss' How the Grinch Stole Christmas,biologist,1,biology,Vladimir Ivanovich Vernadsky,Stephen Hillenburg,Robert Koch,drummer,1,Paul McCartney,Phil Collins,Tommy Lee,Taylor Hawkins
mountain,1,Aconcagua,Mount Athos,Monte Carlo,Mount Vesuvius,television film,0,Secrets of Hidden Truths,Woody Allen,Ivan Champions,South Park: Post Covid,action film,1,Guardians of the Galaxy Vol. 3,Top Gun,Avengers: Endgame,Marvel Cinematic Universe,scientist,1,"Frankenstein; or, The Modern Prometheus",Yury Luzhkov,Leonardo da Vinci,Lionel Logue,historical film,1,Ekaterina,Oliver Reed,Downfall,Gladiator
economist,1,Yulia Tymoshenko,Mikhail Gorbachev,Sergey Shoygu,Viktor Yanukovych,programmer,1,Markus Persson,Ilya Segalovich,Aleksandr Tsoi,Paul G. Allen,3D film,1,Guardians of the Galaxy Vol. 2,Furious 7,Minions: The Rise of Gru,Justice League,drummer,0,Ivan Makarevich,Ivan Chordov,number of the beast,Vladimir Workshop,jazz musician,1,Eric Clapton,Barbra Streisand,Sergey Kuryokhin,Amy Winehouse
Americans,1,Thomas Edison,J. K. Simmons,White Americans,Dorothy Vaughan,plant,1,Amaranthaceae,common sunflower,carnivorous plant,forage,strategy video game,0,New Angeles,Call of Duty: Modern Warfare 3,Twilight Saxophone,Honkai: Star Rail,U.S. state,1,Missouri,California,Washington,New York,landscape painter,1,William Nicholson,John Constable,landscape art,J. M. W. Turner
