answer	score	topic	URI
Mount Athos	0.452	mountain	http://www.wikidata.org/entity/Q130321
Mount Elbrus	0.405	mountain	http://www.wikidata.org/entity/Q43105
Mont Blanc	0.378	mountain	http://www.wikidata.org/entity/Q583
Denali	0.317	mountain	http://www.wikidata.org/entity/Q130018
Tambora	0.271	mountain	http://www.wikidata.org/entity/Q168714
K2	0.205	mountain	http://www.wikidata.org/entity/Q43512
Seven Summits	0.091	mountain	http://www.wikidata.org/entity/Q208126
Nanga Parbat	0.056	mountain	http://www.wikidata.org/entity/Q130736
Puncak Jaya	0.026	mountain	http://www.wikidata.org/entity/Q1045888
Aconcagua	0.022	mountain	http://www.wikidata.org/entity/Q39739
Panthera uncia	-0.268	mountain	http://www.wikidata.org/entity/Q30197
Monte Carlo	-0.389	mountain	http://www.wikidata.org/entity/Q45240
Montana	-0.476	mountain	http://www.wikidata.org/entity/Q1212
stratovolcano	-0.528	mountain	http://www.wikidata.org/entity/Q169358
Dufourspitze	-0.590	mountain	http://www.wikidata.org/entity/Q3403
Mona Lisa	-0.911	mountain	http://www.wikidata.org/entity/Q12418
Richard Wagner	0.806	pianist	http://www.wikidata.org/entity/Q1511
Alla Pugacheva	0.476	pianist	http://www.wikidata.org/entity/Q80510
Paul McCartney	0.405	pianist	http://www.wikidata.org/entity/Q2599
John Lennon	0.286	pianist	http://www.wikidata.org/entity/Q1203
Sergey Kuznetsov	0.262	pianist	http://www.wikidata.org/entity/Q4245064
Freddie Mercury	0.205	pianist	http://www.wikidata.org/entity/Q15869
Tom Kaulitz	0.154	pianist	http://www.wikidata.org/entity/Q1622098
Brian May	0.132	pianist	http://www.wikidata.org/entity/Q15873
David Bowie	0.085	pianist	http://www.wikidata.org/entity/Q5383
Chris Cornell	-0.061	pianist	http://www.wikidata.org/entity/Q270935
Taylor Swift	-0.200	pianist	http://www.wikidata.org/entity/Q26876
Jamie Foxx	-0.206	pianist	http://www.wikidata.org/entity/Q171905
Lenny Kravitz	-0.211	pianist	http://www.wikidata.org/entity/Q180224
Jon Bon Jovi	-0.250	pianist	http://www.wikidata.org/entity/Q150916
Jared Leto	-0.275	pianist	http://www.wikidata.org/entity/Q484523
Flea	-0.579	pianist	http://www.wikidata.org/entity/Q202859
Benedict XVI	-0.676	pianist	http://www.wikidata.org/entity/Q2494
Stephen King	0.929	horror literature	http://www.wikidata.org/entity/Q39829
Bram Stoker	0.667	horror literature	http://www.wikidata.org/entity/Q36184
R. L. Stine	0.463	horror literature	http://www.wikidata.org/entity/Q333123
The Call of Cthulhu	0.345	horror literature	http://www.wikidata.org/entity/Q1141815
H. P. Lovecraft	0.263	horror literature	http://www.wikidata.org/entity/Q169566
Anne Rice	0.179	horror literature	http://www.wikidata.org/entity/Q184785
Four Past Midnight	0.049	horror literature	http://www.wikidata.org/entity/Q2344221
Tabitha King	-0.049	horror literature	http://www.wikidata.org/entity/Q284287
Ray Bradbury	-0.103	horror literature	http://www.wikidata.org/entity/Q40640
Neil Gaiman	-0.175	horror literature	http://www.wikidata.org/entity/Q210059
Max Brooks	-0.190	horror literature	http://www.wikidata.org/entity/Q28170
Chuck Palahniuk	-0.205	horror literature	http://www.wikidata.org/entity/Q268181
Roald Dahl	-0.310	horror literature	http://www.wikidata.org/entity/Q25161
Wolfgang Hohlbein	-0.342	horror literature	http://www.wikidata.org/entity/Q61994
New Watch	-0.514	horror literature	http://www.wikidata.org/entity/Q4326895
Gothic literature	-0.526	horror literature	http://www.wikidata.org/entity/Q19715429
Friends	0.881	comedy television series	http://www.wikidata.org/entity/Q79784
The Simpsons	0.789	comedy television series	http://www.wikidata.org/entity/Q886
Shameless	0.421	comedy television series	http://www.wikidata.org/entity/Q23599
Jackass	0.297	comedy television series	http://www.wikidata.org/entity/Q465616
Only Murders in the Building	0.095	comedy television series	http://www.wikidata.org/entity/Q104007235
The Fall Guy	0.091	comedy television series	http://www.wikidata.org/entity/Q2659146
Ms. Marvel	0.029	comedy television series	http://www.wikidata.org/entity/Q84712813
Wednesday	0.023	comedy television series	http://www.wikidata.org/entity/Q105553568
Star Trek: Lower Decks	-0.051	comedy television series	http://www.wikidata.org/entity/Q62573569
Peacemaker	-0.070	comedy television series	http://www.wikidata.org/entity/Q101089777
The Transformers	-0.077	comedy television series	http://www.wikidata.org/entity/Q602883
sitcom	-0.103	comedy television series	http://www.wikidata.org/entity/Q170238
Big Little Lies	-0.184	comedy television series	http://www.wikidata.org/entity/Q19873404
Star Wars: The Clone Wars	-0.316	comedy television series	http://www.wikidata.org/entity/Q632672
Star Trek: Prodigy	-0.333	comedy television series	http://www.wikidata.org/entity/Q65250765
Supernatural	-0.450	comedy television series	http://www.wikidata.org/entity/Q130585
Kitchen	-0.515	comedy television series	http://www.wikidata.org/entity/Q4249828
Alexander Hamilton	0.657	economist	http://www.wikidata.org/entity/Q178903
Viktor Yushchenko	0.511	economist	http://www.wikidata.org/entity/Q1459699
Mikhail Mishustin	0.317	economist	http://www.wikidata.org/entity/Q4298520
Viktor Yanukovych	0.237	economist	http://www.wikidata.org/entity/Q1459658
Petro Poroshenko	0.205	economist	http://www.wikidata.org/entity/Q58077
Leonid Kravchuk	0.180	economist	http://www.wikidata.org/entity/Q189732
Jens Stoltenberg	0.100	economist	http://www.wikidata.org/entity/Q57665
Yulia Tymoshenko	0.028	economist	http://www.wikidata.org/entity/Q48283
Lutz Graf Schwerin von Krosigk	-0.028	economist	http://www.wikidata.org/entity/Q57136
Sergey Shoygu	-0.043	economist	http://www.wikidata.org/entity/Q32024
Helmut Schmidt	-0.048	economist	http://www.wikidata.org/entity/Q2516
Oleksandr Turchynov	-0.071	economist	http://www.wikidata.org/entity/Q15850
Eduardo Saverin	-0.190	economist	http://www.wikidata.org/entity/Q312663
Olena Kravets	-0.237	economist	http://www.wikidata.org/entity/Q4237277
Mikhail Gorbachev	-0.265	economist	http://www.wikidata.org/entity/Q30487
Rinat Akhmetov	-0.293	economist	http://www.wikidata.org/entity/Q60805
Joseph P. Kennedy Sr.	-0.297	economist	http://www.wikidata.org/entity/Q313696
Chariots of Fire	0.600	sport film	http://www.wikidata.org/entity/Q207921
Moneyball	0.541	sport film	http://www.wikidata.org/entity/Q221820
Days of Thunder	0.500	sport film	http://www.wikidata.org/entity/Q603696
Winning Time: The Rise of the Lakers Dynasty	0.400	sport film	http://www.wikidata.org/entity/Q106322463
Space Jam: A New Legacy	0.267	sport film	http://www.wikidata.org/entity/Q56850065
Champion of the World	0.067	sport film	http://www.wikidata.org/entity/Q65154506
King Richard	0.024	sport film	http://www.wikidata.org/entity/Q84203429
The Cannonball Run	0.022	sport film	http://www.wikidata.org/entity/Q759359
Hustle	-0.019	sport film	http://www.wikidata.org/entity/Q103377646
Rush	-0.049	sport film	http://www.wikidata.org/entity/Q1768437
Jerry Maguire	-0.051	sport film	http://www.wikidata.org/entity/Q329131
Foxcatcher	-0.054	sport film	http://www.wikidata.org/entity/Q5477105
Fighting with My Family	-0.216	sport film	http://www.wikidata.org/entity/Q28840410
Point Break	-0.225	sport film	http://www.wikidata.org/entity/Q1146552
The Queen's Gambit	-0.311	sport film	http://www.wikidata.org/entity/Q85808226
Ice 2	-0.317	sport film	http://www.wikidata.org/entity/Q63842704
Jackass 3D	-0.319	sport film	http://www.wikidata.org/entity/Q1066098
Dangal	-0.405	sport film	http://www.wikidata.org/entity/Q20762668
NBA 2K	0.682	sports video game	http://www.wikidata.org/entity/Q512849
FIFA 23	0.551	sports video game	http://www.wikidata.org/entity/Q107486489
Tony Hawk's Pro Skater 1 + 2	0.545	sports video game	http://www.wikidata.org/entity/Q94587084
Tony Hawk's Pro Skater 4	0.457	sports video game	http://www.wikidata.org/entity/Q1512956
Tony Hawk's Pro Skater 2	0.333	sports video game	http://www.wikidata.org/entity/Q1538485
Tony Hawk's Pro Skater 3	0.308	sports video game	http://www.wikidata.org/entity/Q1463730
Wii Sports	0.238	sports video game	http://www.wikidata.org/entity/Q71936
Tony Hawk's	0.208	sports video game	http://www.wikidata.org/entity/Q1189289
Wii Sports Resort	0.190	sports video game	http://www.wikidata.org/entity/Q1135241
Tennis for Two	0.089	sports video game	http://www.wikidata.org/entity/Q858294
AEW Fight Forever	-0.049	sports video game	http://www.wikidata.org/entity/Q111844850
Football Limited	-0.103	sports video game	http://www.wikidata.org/entity/Q672418
Mario Strikers: Battle League	-0.136	sports video game	http://www.wikidata.org/entity/Q110876089
PainStation	-0.208	sports video game	http://www.wikidata.org/entity/Q1282807
racing video game	-0.226	sports video game	http://www.wikidata.org/entity/Q860750
Pong	-0.486	sports video game	http://www.wikidata.org/entity/Q216293
Pyre	-0.531	sports video game	http://www.wikidata.org/entity/Q23947160
Mario	-0.600	sports video game	http://www.wikidata.org/entity/Q4803535
Star Trek: The Original Series	0.810	science fiction television program	http://www.wikidata.org/entity/Q1077
Doctor Who	0.512	science fiction television program	http://www.wikidata.org/entity/Q34316
Star Trek: The Next Generation	0.439	science fiction television program	http://www.wikidata.org/entity/Q16290
Star Trek: Picard	0.316	science fiction television program	http://www.wikidata.org/entity/Q62573305
Star Trek: Discovery	0.300	science fiction television program	http://www.wikidata.org/entity/Q21296543
Stranger Things	0.170	science fiction television program	http://www.wikidata.org/entity/Q19798734
Star Trek: Strange New Worlds	0.162	science fiction television program	http://www.wikidata.org/entity/Q94527193
The Mandalorian	0.128	science fiction television program	http://www.wikidata.org/entity/Q56876444
Westworld	0.111	science fiction television program	http://www.wikidata.org/entity/Q17572811
The Book of Boba Fett	0.048	science fiction television program	http://www.wikidata.org/entity/Q104396610
Dark	-0.234	science fiction television program	http://www.wikidata.org/entity/Q28443710
Obi-Wan Kenobi	-0.238	science fiction television program	http://www.wikidata.org/entity/Q104154217
Ahsoka	-0.250	science fiction television program	http://www.wikidata.org/entity/Q104153367
Lost	-0.262	science fiction television program	http://www.wikidata.org/entity/Q23567
Twin Peaks	-0.537	science fiction television program	http://www.wikidata.org/entity/Q2085
Marvel Cinematic Universe	-0.667	science fiction television program	http://www.wikidata.org/entity/Q642878
Guccio Gucci	0.935	fashion designer	http://www.wikidata.org/entity/Q714126
Aldo Gucci	0.850	fashion designer	http://www.wikidata.org/entity/Q16012440
Jennifer Lopez	0.224	fashion designer	http://www.wikidata.org/entity/Q40715
Heidi Klum	0.174	fashion designer	http://www.wikidata.org/entity/Q60036
Kanye West	0.159	fashion designer	http://www.wikidata.org/entity/Q15935
Kim Kardashian	0.128	fashion designer	http://www.wikidata.org/entity/Q186304
Milla Jovovich	-0.025	fashion designer	http://www.wikidata.org/entity/Q170576
Kylie Jenner	-0.026	fashion designer	http://www.wikidata.org/entity/Q1770624
Kaia Gerber	-0.053	fashion designer	http://www.wikidata.org/entity/Q22673974
Sienna Miller	-0.114	fashion designer	http://www.wikidata.org/entity/Q193458
Hilary Duff	-0.205	fashion designer	http://www.wikidata.org/entity/Q122020
Kourtney Kardashian	-0.205	fashion designer	http://www.wikidata.org/entity/Q575689
Rooney Mara	-0.222	fashion designer	http://www.wikidata.org/entity/Q228766
Bill Kaulitz	-0.238	fashion designer	http://www.wikidata.org/entity/Q155041
Akshata Murty	-0.270	fashion designer	http://www.wikidata.org/entity/Q22997426
Ashley Biden	-0.442	fashion designer	http://www.wikidata.org/entity/Q97588420
New York	0.778	U.S. state	http://www.wikidata.org/entity/Q1384
Florida	0.535	U.S. state	http://www.wikidata.org/entity/Q812
California	0.535	U.S. state	http://www.wikidata.org/entity/Q99
Texas	0.513	U.S. state	http://www.wikidata.org/entity/Q1439
Hawaii	0.391	U.S. state	http://www.wikidata.org/entity/Q782
Georgia	0.317	U.S. state	http://www.wikidata.org/entity/Q1428
Pennsylvania	0.237	U.S. state	http://www.wikidata.org/entity/Q1400
Massachusetts	0.154	U.S. state	http://www.wikidata.org/entity/Q771
Virginia	0.095	U.S. state	http://www.wikidata.org/entity/Q1370
Washington	-0.077	U.S. state	http://www.wikidata.org/entity/Q1223
Kentucky	-0.182	U.S. state	http://www.wikidata.org/entity/Q1603
Alaska	-0.316	U.S. state	http://www.wikidata.org/entity/Q797
Colorado	-0.341	U.S. state	http://www.wikidata.org/entity/Q1261
Wisconsin	-0.439	U.S. state	http://www.wikidata.org/entity/Q1537
Missouri	-0.565	U.S. state	http://www.wikidata.org/entity/Q1581
Wyoming	-0.585	U.S. state	http://www.wikidata.org/entity/Q1214
Montana	-0.618	U.S. state	http://www.wikidata.org/entity/Q1212
Top Gun	0.872	action film	http://www.wikidata.org/entity/Q110138
Top Gun: Maverick	0.605	action film	http://www.wikidata.org/entity/Q31202708
Avengers: Endgame	0.400	action film	http://www.wikidata.org/entity/Q23781155
Spider-Man: No Way Home	0.243	action film	http://www.wikidata.org/entity/Q68934496
Black Panther: Wakanda Forever	0.220	action film	http://www.wikidata.org/entity/Q54860489
Thor: Love and Thunder	0.171	action film	http://www.wikidata.org/entity/Q65768604
Guardians of the Galaxy Vol. 3	0.133	action film	http://www.wikidata.org/entity/Q29226331
Spider-Man: Far from Home	0.086	action film	http://www.wikidata.org/entity/Q27985819
The Batman	0.057	action film	http://www.wikidata.org/entity/Q61117344
No Time to Die	0.024	action film	http://www.wikidata.org/entity/Q21534241
Doctor Strange in the Multiverse of Madness	-0.061	action film	http://www.wikidata.org/entity/Q64211112
Avatar: The Way of Water	-0.093	action film	http://www.wikidata.org/entity/Q3604746
Jurassic World Dominion	-0.158	action film	http://www.wikidata.org/entity/Q55178974
Bullet Train	-0.206	action film	http://www.wikidata.org/entity/Q99900595
The King's Man	-0.293	action film	http://www.wikidata.org/entity/Q61633664
The Marvels	-0.325	action film	http://www.wikidata.org/entity/Q89474225
Eternals	-0.452	action film	http://www.wikidata.org/entity/Q23894629
Marvel Cinematic Universe	-0.641	action film	http://www.wikidata.org/entity/Q642878
Princess Mononoke	0.717	anime film	http://www.wikidata.org/entity/Q186572
Howl's Moving Castle	0.610	anime film	http://www.wikidata.org/entity/Q29011
Castle in the Sky	0.341	anime film	http://www.wikidata.org/entity/Q498577
Demon Slayer: Kimetsu no Yaiba the Movie: Mugen Train	0.275	anime film	http://www.wikidata.org/entity/Q96376192
Spirited Away	0.255	anime film	http://www.wikidata.org/entity/Q155653
Ghost in the Shell	0.244	anime film	http://www.wikidata.org/entity/Q1066948
The End of Evangelion	0.089	anime film	http://www.wikidata.org/entity/Q1151814
Earwig and the Witch	0.075	anime film	http://www.wikidata.org/entity/Q96031360
The Boy and the Heron	0.071	anime film	http://www.wikidata.org/entity/Q47482560
Nausicaä of the Valley of the Wind	0.024	anime film	http://www.wikidata.org/entity/Q8885676
Neon Genesis Evangelion: Death & Rebirth	0.023	anime film	http://www.wikidata.org/entity/Q967664
The Wind Rises	-0.040	anime film	http://www.wikidata.org/entity/Q888131
Evangelion: 3.0+1.0 Thrice Upon a Time	-0.200	anime film	http://www.wikidata.org/entity/Q6434144
Belle	-0.385	anime film	http://www.wikidata.org/entity/Q104184744
anime	-0.385	anime film	http://www.wikidata.org/entity/Q1107
Your Name.	-0.750	anime film	http://www.wikidata.org/entity/Q21697406
Johnny Depp	0.659	actor	http://www.wikidata.org/entity/Q37175
Ryan Reynolds	0.651	actor	http://www.wikidata.org/entity/Q192682
Winona Ryder	0.585	actor	http://www.wikidata.org/entity/Q101797
Tom Holland	0.500	actor	http://www.wikidata.org/entity/Q2023710
Cate Blanchett	0.476	actor	http://www.wikidata.org/entity/Q80966
Jennifer Connelly	0.458	actor	http://www.wikidata.org/entity/Q103343
Olivia Wilde	0.311	actor	http://www.wikidata.org/entity/Q200355
Ralph Fiennes	0.200	actor	http://www.wikidata.org/entity/Q28493
Zendaya	0.152	actor	http://www.wikidata.org/entity/Q189489
Amber Heard	0.140	actor	http://www.wikidata.org/entity/Q229166
Zoë Kravitz	0.104	actor	http://www.wikidata.org/entity/Q227129
Stellan Skarsgård	-0.093	actor	http://www.wikidata.org/entity/Q208667
Talulah Riley	-0.180	actor	http://www.wikidata.org/entity/Q269309
Riley Keough	-0.233	actor	http://www.wikidata.org/entity/Q254947
Vanessa Paradis	-0.278	actor	http://www.wikidata.org/entity/Q51023
Priscilla Presley	-0.279	actor	http://www.wikidata.org/entity/Q234773
Ana de Armas	-0.283	actor	http://www.wikidata.org/entity/Q698173
Maurizio D'Ancora	-0.321	actor	http://www.wikidata.org/entity/Q3852571
Volodymyr Zelenskyy	-0.349	actor	http://www.wikidata.org/entity/Q3874799
Donald Trump	-0.385	actor	http://www.wikidata.org/entity/Q22686
Till Lindemann	-0.462	actor	http://www.wikidata.org/entity/Q154852
Valery Todorovsky	-0.490	actor	http://www.wikidata.org/entity/Q1969891
Chinese Americans	0.900	Chinese people	http://www.wikidata.org/entity/Q1146100
Han Chinese people	0.683	Chinese people	http://www.wikidata.org/entity/Q42740
Overseas Chinese	0.460	Chinese people	http://www.wikidata.org/entity/Q779191
Chinese cuisine	0.125	Chinese people	http://www.wikidata.org/entity/Q10876842
Myanmar	0.044	Chinese people	http://www.wikidata.org/entity/Q836
Cambodia	-0.222	Chinese people	http://www.wikidata.org/entity/Q424
Japan	-0.227	Chinese people	http://www.wikidata.org/entity/Q17
Indonesia	-0.277	Chinese people	http://www.wikidata.org/entity/Q252
foot binding	-0.463	Chinese people	http://www.wikidata.org/entity/Q498231
Australia	-0.723	Chinese people	http://www.wikidata.org/entity/Q408
Steve Wozniak	0.814	computer scientist	http://www.wikidata.org/entity/Q483382
Steve Jobs	0.474	computer scientist	http://www.wikidata.org/entity/Q19837
Sergey Brin	0.341	computer scientist	http://www.wikidata.org/entity/Q92764
Alan Turing	0.256	computer scientist	http://www.wikidata.org/entity/Q7251
Jack Dorsey	0.209	computer scientist	http://www.wikidata.org/entity/Q335552
Mark Zuckerberg	0.162	computer scientist	http://www.wikidata.org/entity/Q36215
Edward Snowden	0.121	computer scientist	http://www.wikidata.org/entity/Q13424289
Sudha Murthy	0.000	computer scientist	http://www.wikidata.org/entity/Q3520225
Arkady Volozh	-0.184	computer scientist	http://www.wikidata.org/entity/Q4123823
Larry Page	-0.184	computer scientist	http://www.wikidata.org/entity/Q4934
Pavel Valeryevich Durov	-0.189	computer scientist	http://www.wikidata.org/entity/Q149067
Peter Thiel	-0.189	computer scientist	http://www.wikidata.org/entity/Q705525
Eduardo Saverin	-0.326	computer scientist	http://www.wikidata.org/entity/Q312663
Daniel Ek	-0.361	computer scientist	http://www.wikidata.org/entity/Q901670
Jeff Bezos	-0.370	computer scientist	http://www.wikidata.org/entity/Q312556
Isaac Newton	0.829	mathematician	http://www.wikidata.org/entity/Q935
Carl Friedrich Gauss	0.397	mathematician	http://www.wikidata.org/entity/Q6722
Werner Heisenberg	0.340	mathematician	http://www.wikidata.org/entity/Q40904
Boris Grebenshchikov	0.255	mathematician	http://www.wikidata.org/entity/Q542101
Thomas Edison	0.244	mathematician	http://www.wikidata.org/entity/Q8743
Boris Berezovsky	0.231	mathematician	http://www.wikidata.org/entity/Q311019
John Forbes Nash	0.175	mathematician	http://www.wikidata.org/entity/Q128736
Mikhail Vassilyevich Lomonosov	0.102	mathematician	http://www.wikidata.org/entity/Q58720
Arkady Volozh	0.049	mathematician	http://www.wikidata.org/entity/Q4123823
Max Born	0.023	mathematician	http://www.wikidata.org/entity/Q58978
Grigori Perelman	0.000	mathematician	http://www.wikidata.org/entity/Q117346
Albrecht Dürer	-0.122	mathematician	http://www.wikidata.org/entity/Q5580
Leonardo da Vinci	-0.158	mathematician	http://www.wikidata.org/entity/Q762
Ted Kaczynski	-0.233	mathematician	http://www.wikidata.org/entity/Q222134
Immanuel Kant	-0.250	mathematician	http://www.wikidata.org/entity/Q9312
Lee Hsien Loong	-0.341	mathematician	http://www.wikidata.org/entity/Q57643
mathematics	-0.350	mathematician	http://www.wikidata.org/entity/Q395
Joan Clarke	-0.422	mathematician	http://www.wikidata.org/entity/Q15990084
Robert Oppenheimer	0.705	engineer	http://www.wikidata.org/entity/Q132537
Elon Musk	0.459	engineer	http://www.wikidata.org/entity/Q317521
Bernard Arnault	0.375	engineer	http://www.wikidata.org/entity/Q32055
Larry Page	0.225	engineer	http://www.wikidata.org/entity/Q4934
Leonid Brezhnev	0.179	engineer	http://www.wikidata.org/entity/Q765165
Hu Jintao	0.125	engineer	http://www.wikidata.org/entity/Q15029
Nikolai Patrushev	0.121	engineer	http://www.wikidata.org/entity/Q446865
Mikhail Mishustin	0.100	engineer	http://www.wikidata.org/entity/Q4298520
Oleksandr Turchynov	0.077	engineer	http://www.wikidata.org/entity/Q15850
Viktor Yanukovych	0.032	engineer	http://www.wikidata.org/entity/Q1459658
Mikhail Fridman	0.025	engineer	http://www.wikidata.org/entity/Q732142
Leonid Kuchma	-0.111	engineer	http://www.wikidata.org/entity/Q629702
Herbert Hoover	-0.194	engineer	http://www.wikidata.org/entity/Q35236
Jimmy Carter	-0.487	engineer	http://www.wikidata.org/entity/Q23685
George Washington	-0.524	engineer	http://www.wikidata.org/entity/Q23
James Cameron	-0.634	engineer	http://www.wikidata.org/entity/Q42574
Chris Rock	0.897	stand up comedian	http://www.wikidata.org/entity/Q4109
Ricky Gervais	0.644	stand up comedian	http://www.wikidata.org/entity/Q23517
Robin Williams	0.486	stand up comedian	http://www.wikidata.org/entity/Q83338
Pete Davidson	0.447	stand up comedian	http://www.wikidata.org/entity/Q18097962
Russell Brand	0.435	stand up comedian	http://www.wikidata.org/entity/Q296609
John Mulaney	0.354	stand up comedian	http://www.wikidata.org/entity/Q6249723
Bob Saget	0.265	stand up comedian	http://www.wikidata.org/entity/Q333544
Nick Kroll	-0.020	stand up comedian	http://www.wikidata.org/entity/Q4241574
Brett Goldstein	-0.021	stand up comedian	http://www.wikidata.org/entity/Q22277167
Stephen Merchant	-0.037	stand up comedian	http://www.wikidata.org/entity/Q23814
Chelsea Peretti	-0.054	stand up comedian	http://www.wikidata.org/entity/Q5090122
Benjamin Walker	-0.175	stand up comedian	http://www.wikidata.org/entity/Q817734
Maxim Galkin	-0.216	stand up comedian	http://www.wikidata.org/entity/Q559485
Jenny Slate	-0.225	stand up comedian	http://www.wikidata.org/entity/Q744166
Jemaine Clement	-0.297	stand up comedian	http://www.wikidata.org/entity/Q439315
Kumail Nanjiani	-0.316	stand up comedian	http://www.wikidata.org/entity/Q6443390
Sergey Pakhomov	-0.375	stand up comedian	http://www.wikidata.org/entity/Q4347373
Leonid Yarmolnik	-0.476	stand up comedian	http://www.wikidata.org/entity/Q4538670
Garik Martirosyan	-0.477	stand up comedian	http://www.wikidata.org/entity/Q2389088
Cinderella	0.750	cinematic fairy tale	http://www.wikidata.org/entity/Q15046091
Beauty and the Beast	0.727	cinematic fairy tale	http://www.wikidata.org/entity/Q3206615
Beauty and the Beast (1991 film)	0.708	cinematic fairy tale	http://www.wikidata.org/entity/Q179673
The Little Mermaid	0.646	cinematic fairy tale	http://www.wikidata.org/entity/Q28970981
Tangled	0.391	cinematic fairy tale	http://www.wikidata.org/entity/Q188439
Three Nuts for Cinderella	0.114	cinematic fairy tale	http://www.wikidata.org/entity/Q140447
Arabian Nights	0.089	cinematic fairy tale	http://www.wikidata.org/entity/Q209737
A Night Before Christmas	0.077	cinematic fairy tale	http://www.wikidata.org/entity/Q4110177
Brother Bear	0.000	cinematic fairy tale	http://www.wikidata.org/entity/Q215365
Coraline	-0.026	cinematic fairy tale	http://www.wikidata.org/entity/Q632668
Mary Poppins, Goodbye	-0.116	cinematic fairy tale	http://www.wikidata.org/entity/Q3736971
Arabela	-0.150	cinematic fairy tale	http://www.wikidata.org/entity/Q1214992
Jack Frost	-0.178	cinematic fairy tale	http://www.wikidata.org/entity/Q319163
The Thief of Bagdad	-0.342	cinematic fairy tale	http://www.wikidata.org/entity/Q463716
Paddington	-0.351	cinematic fairy tale	http://www.wikidata.org/entity/Q15055478
Lilac Ball	-0.370	cinematic fairy tale	http://www.wikidata.org/entity/Q4261614
An Ordinary Miracle	-0.463	cinematic fairy tale	http://www.wikidata.org/entity/Q1082153
Me Too	-0.667	cinematic fairy tale	http://www.wikidata.org/entity/Q4535750
Die Geschichte vom kleinen Muck	-0.732	cinematic fairy tale	http://www.wikidata.org/entity/Q1212956
Gene Simmons	0.714	bass guitarist	http://www.wikidata.org/entity/Q207197
Flea	0.545	bass guitarist	http://www.wikidata.org/entity/Q202859
Brian Wilson	0.463	bass guitarist	http://www.wikidata.org/entity/Q313013
George Harrison	0.432	bass guitarist	http://www.wikidata.org/entity/Q2643
Jermaine Jackson	0.312	bass guitarist	http://www.wikidata.org/entity/Q317784
Paul McCartney	0.300	bass guitarist	http://www.wikidata.org/entity/Q2599
Sid Vicious	0.184	bass guitarist	http://www.wikidata.org/entity/Q47878
Roger Taylor	0.079	bass guitarist	http://www.wikidata.org/entity/Q15880
Paul Landers	0.049	bass guitarist	http://www.wikidata.org/entity/Q165644
Claus Fischer	0.000	bass guitarist	http://www.wikidata.org/entity/Q1098508
Gleb Samoylov	-0.061	bass guitarist	http://www.wikidata.org/entity/Q4406697
Pavel Artemyev	-0.175	bass guitarist	http://www.wikidata.org/entity/Q4070234
Rodrigo González	-0.250	bass guitarist	http://www.wikidata.org/entity/Q677129
Sergey Shnurov	-0.256	bass guitarist	http://www.wikidata.org/entity/Q921496
Thomas Brodie-Sangster	-0.421	bass guitarist	http://www.wikidata.org/entity/Q312531
Bella Thorne	-0.512	bass guitarist	http://www.wikidata.org/entity/Q208117
Natalia Chumakova	-0.575	bass guitarist	http://www.wikidata.org/entity/Q4518005
Thomas Edison	0.762	Americans	http://www.wikidata.org/entity/Q8743
John D. Rockefeller	0.761	Americans	http://www.wikidata.org/entity/Q160278
Native Americans in the United States	0.415	Americans	http://www.wikidata.org/entity/Q49297
Coen brothers	0.103	Americans	http://www.wikidata.org/entity/Q56095
J. K. Simmons	0.093	Americans	http://www.wikidata.org/entity/Q150482
Lisa Bonet	0.048	Americans	http://www.wikidata.org/entity/Q232414
Julianna Margulies	0.020	Americans	http://www.wikidata.org/entity/Q229714
Ava Gardner	0.000	Americans	http://www.wikidata.org/entity/Q164487
African Americans	-0.024	Americans	http://www.wikidata.org/entity/Q49085
Dorothy Vaughan	-0.050	Americans	http://www.wikidata.org/entity/Q22915129
White Americans	-0.178	Americans	http://www.wikidata.org/entity/Q49078
Chinese Americans	-0.179	Americans	http://www.wikidata.org/entity/Q1146100
Citizenship in the United States	-0.250	Americans	http://www.wikidata.org/entity/Q15133865
Igor Sikorsky	-0.952	Americans	http://www.wikidata.org/entity/Q212446
domesticated animal	0.628	animal	http://www.wikidata.org/entity/Q622852
dinosaur	0.625	animal	http://www.wikidata.org/entity/Q430
invertebrate	0.489	animal	http://www.wikidata.org/entity/Q43806
Lama glama	0.406	animal	http://www.wikidata.org/entity/Q42569
Cryptoprocta ferox	0.326	animal	http://www.wikidata.org/entity/Q183330
carnivore	0.297	animal	http://www.wikidata.org/entity/Q81875
Eumetazoa	0.229	animal	http://www.wikidata.org/entity/Q5174
Porifera	0.122	animal	http://www.wikidata.org/entity/Q18960
Bilateria	-0.028	animal	http://www.wikidata.org/entity/Q5173
Metazoa	-0.083	animal	http://www.wikidata.org/entity/Q151542
Rotaviral gastroenteritis	-0.257	animal	http://www.wikidata.org/entity/Q7370337
number of the beast	-0.341	animal	http://www.wikidata.org/entity/Q666
Francis of Assisi	-0.514	animal	http://www.wikidata.org/entity/Q676555
semen	-0.769	animal	http://www.wikidata.org/entity/Q9715
Bayeux Embroidery	-0.789	animal	http://www.wikidata.org/entity/Q187483
Quantum of Solace	0.548	spy film	http://www.wikidata.org/entity/Q181540
Skyfall	0.472	spy film	http://www.wikidata.org/entity/Q4941
Casino Royale	0.442	spy film	http://www.wikidata.org/entity/Q151904
Tomorrow Never Dies	0.408	spy film	http://www.wikidata.org/entity/Q207916
Die Another Day	0.366	spy film	http://www.wikidata.org/entity/Q30931
