answer	score	topic	URI
Brittney Griner	0.308	basketball player	http://www.wikidata.org/entity/Q2925780
Kevin Nash	0.026	basketball player	http://www.wikidata.org/entity/Q280793
Pat Riley	-0.053	basketball player	http://www.wikidata.org/entity/Q335762
Glory Johnson	-0.070	basketball player	http://www.wikidata.org/entity/Q3109154
Jerry Buss	-0.077	basketball player	http://www.wikidata.org/entity/Q1509908
Dirk Nowitzki	-0.257	basketball player	http://www.wikidata.org/entity/Q44068
Mahershala Ali	-0.311	basketball player	http://www.wikidata.org/entity/Q360531
Juan Hernangómez	-0.333	basketball player	http://www.wikidata.org/entity/Q18644229
Alexander Belov	-0.405	basketball player	http://www.wikidata.org/entity/Q714318
Jim Caviezel	-0.553	basketball player	http://www.wikidata.org/entity/Q200841
Nick Nolte	-0.850	basketball player	http://www.wikidata.org/entity/Q188018
Tom Selleck	-0.902	basketball player	http://www.wikidata.org/entity/Q213706
Toy Story 4	0.810	children's film	http://www.wikidata.org/entity/Q18517638
Pinocchio	0.543	children's film	http://www.wikidata.org/entity/Q105482844
Charlie and the Chocolate Factory	0.512	children's film	http://www.wikidata.org/entity/Q218235
Minions	0.371	children's film	http://www.wikidata.org/entity/Q13619743
Harry Potter and the Chamber of Secrets	0.312	children's film	http://www.wikidata.org/entity/Q102244
The NeverEnding Story	0.167	children's film	http://www.wikidata.org/entity/Q316555
Dr. Seuss' How the Grinch Stole Christmas	0.135	children's film	http://www.wikidata.org/entity/Q131864
Harry Potter and the Philosopher's Stone	0.119	children's film	http://www.wikidata.org/entity/Q102438
Home Alone	-0.028	children's film	http://www.wikidata.org/entity/Q105031
Harry Potter and the Order of the Phoenix	-0.182	children's film	http://www.wikidata.org/entity/Q102235
Spirited Away	-0.182	children's film	http://www.wikidata.org/entity/Q155653
Harry Potter and the Goblet of Fire	-0.194	children's film	http://www.wikidata.org/entity/Q102225
Harry Potter and the Prisoner of Azkaban	-0.324	children's film	http://www.wikidata.org/entity/Q102448
Space Jam: A New Legacy	-0.333	children's film	http://www.wikidata.org/entity/Q56850065
Fantastic Beasts and Where to Find Them	-0.452	children's film	http://www.wikidata.org/entity/Q18199330
Emil i Lönneberga	-0.875	children's film	http://www.wikidata.org/entity/Q557990
Evan Fournier	0.615	sportsperson	http://www.wikidata.org/entity/Q2504840
Enzo Fernández	0.324	sportsperson	http://www.wikidata.org/entity/Q326477
Caroline Garcia	0.306	sportsperson	http://www.wikidata.org/entity/Q258877
Amandine Henry	0.280	sportsperson	http://www.wikidata.org/entity/Q454261
Sergei Anokhin	0.227	sportsperson	http://www.wikidata.org/entity/Q706809
Roger Lodge	0.205	sportsperson	http://www.wikidata.org/entity/Q7358546
Summer McIntosh	0.094	sportsperson	http://www.wikidata.org/entity/Q107323240
Alex Shibutani	0.077	sportsperson	http://www.wikidata.org/entity/Q2095099
Vincent Jay	0.071	sportsperson	http://www.wikidata.org/entity/Q375558
