wdtEntity	category	categoryLabel	count	AP	SA	SG	AB	ED	Count		Note		76
http://www.wikidata.org/entity/Q36602	http://www.wikidata.org/entity/Q8098506	Category:Orders (biology)	9701	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q17517379	http://www.wikidata.org/entity/Q8254295	Category:Animated short films	9699	TRUE	FALSE	TRUE	FALSE	FALSE	2				
http://www.wikidata.org/entity/Q19022	http://www.wikidata.org/entity/Q6583701	Category:2010s	9676	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8429	http://www.wikidata.org/entity/Q8155133	Category:1968 Summer Olympics	9318	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q12047389	http://www.wikidata.org/entity/Q9544340	Category:Faculty of Law, Charles University	9266	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q22988604	http://www.wikidata.org/entity/Q8500207	Category:Characters in Greek mythology	9216	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q2705098	http://www.wikidata.org/entity/Q7236639	Category:Japanese television personalities	9160	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q3501317	http://www.wikidata.org/entity/Q6813392	Category:Fashion designers	8977	TRUE	TRUE	TRUE	FALSE	FALSE	3				
http://www.wikidata.org/entity/Q51049922	http://www.wikidata.org/entity/Q7714819	Category:Villages in Estonia	8955	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q6430706	http://www.wikidata.org/entity/Q6997791	Category:Critics	8867	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q19692233	http://www.wikidata.org/entity/Q6992752	Category:Lists of people	8723	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8444	http://www.wikidata.org/entity/Q8160655	Category:1976 Summer Olympics	8679	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q51078983	http://www.wikidata.org/entity/Q9532431	Category:Members of the Chinese People's Political Consultative Conference	8585	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q6087309	http://www.wikidata.org/entity/Q25201751	Category:Members of the Cortes Españolas	8544	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8450	http://www.wikidata.org/entity/Q6577663	Category:1980 Summer Olympics	8457	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q12800682	http://www.wikidata.org/entity/Q7217608	Category:Saxophonists	8135	TRUE	FALSE	FALSE	FALSE	FALSE	1				
http://www.wikidata.org/entity/Q2504617	http://www.wikidata.org/entity/Q8083284	Category:Romance philologists	8073	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q1643514	http://www.wikidata.org/entity/Q8652200	Category:Music arrangers	7931	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q369747	http://www.wikidata.org/entity/Q7141724	Category:War films	7697	FALSE	TRUE	TRUE	TRUE	FALSE	3				
http://www.wikidata.org/entity/Q13382519	http://www.wikidata.org/entity/Q7217605	Category:Table tennis players	7627	FALSE	FALSE	TRUE	TRUE	FALSE	2				
http://www.wikidata.org/entity/Q1734662	http://www.wikidata.org/entity/Q8345459	Category:Cartographers	7625	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q45559	http://www.wikidata.org/entity/Q8488090	Category:Geometridae	7605	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q4205432	http://www.wikidata.org/entity/Q7042130	Category:Ichthyologists	7549	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q1079215	http://www.wikidata.org/entity/Q7187202	Category:Japanese pornographic film actresses	7503	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q4164507	http://www.wikidata.org/entity/Q8265157	Category:Art critics	7488	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q52382875	http://www.wikidata.org/entity/Q6619589	Category:Fellows of the American Academy of Arts and Sciences	7365	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q20442589	http://www.wikidata.org/entity/Q6206659	Category:LGBT-related film	7309	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8403	http://www.wikidata.org/entity/Q8142908	Category:1948 Summer Olympics	7274	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q55818	http://www.wikidata.org/entity/Q5836743	Category:Impact craters	7218	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q8150	http://www.wikidata.org/entity/Q8136930	Category:1936 Summer Olympics	7138	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q2944360	http://www.wikidata.org/entity/Q7119167	Category:Centenarians	7060	FALSE	FALSE	TRUE	FALSE	FALSE	1				
http://www.wikidata.org/entity/Q18074503	http://www.wikidata.org/entity/Q7154335	Category:Installation artists	7043	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q1415090	http://www.wikidata.org/entity/Q7044496	Category:Film score composers	6834	FALSE	FALSE	TRUE	TRUE	FALSE	2				
http://www.wikidata.org/entity/Q270948	http://www.wikidata.org/entity/Q6848090	Category:Action games	6760	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q1200678	http://www.wikidata.org/entity/Q7677812	Category:Mystery films	6627	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q5482740	http://www.wikidata.org/entity/Q6624060	Category:Computer programmers	6611	TRUE	TRUE	TRUE	FALSE	FALSE	3				
http://www.wikidata.org/entity/Q15705021	http://www.wikidata.org/entity/Q8619106	Category:Members of the Chamber of Representatives (Belgium)	6451	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q17231624	http://www.wikidata.org/entity/Q8586903	Category:Legionnaires of the Legion of Merit	6448	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q99762605	http://www.wikidata.org/entity/Q8000738	Category:Mayors of places in Romania	6381	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q9335576	http://www.wikidata.org/entity/Q6315267	Category:Comedy television series	6291	TRUE	TRUE	TRUE	FALSE	FALSE	3				
http://www.wikidata.org/entity/Q19658107	http://www.wikidata.org/entity/Q6486908	Category:Neighbourhoods in Brazil	6290	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q2143665	http://www.wikidata.org/entity/Q6529327	Category:Children's films	6201	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q8178443	http://www.wikidata.org/entity/Q8589394	Category:Librettists	6103	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q11088399	http://www.wikidata.org/entity/Q9533908	Category:Burials at Brno Central Cemetery	6038	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q3658608	http://www.wikidata.org/entity/Q5654546	Category:Caricaturists	6028	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q23833535	http://www.wikidata.org/entity/Q8472934	Category:French Resistance members	5942	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q52954	http://www.wikidata.org/entity/Q7024817	Category:Keyboard instruments	5923	FALSE	FALSE	FALSE	TRUE	FALSE	1				
http://www.wikidata.org/entity/Q3264451	http://www.wikidata.org/entity/Q8343931	Category:Cardiologists	5862	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q17013749	http://www.wikidata.org/entity/Q6428640	Category:Historical films	5842	TRUE	TRUE	TRUE	TRUE	FALSE	4				
http://www.wikidata.org/entity/Q204933	http://www.wikidata.org/entity/Q7135224	Category:People executed by decapitation	5826	FALSE	FALSE	TRUE	FALSE	FALSE	1				
http://www.wikidata.org/entity/Q13357858	http://www.wikidata.org/entity/Q8810997	Category:Badminton tournaments	5795	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q3391537	http://www.wikidata.org/entity/Q7228328	Category:Invasive plants	5757	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q64578911	http://www.wikidata.org/entity/Q8369630	Category:Defunct hospitals	5742	FALSE	FALSE	FALSE	FALSE	FALSE	0				
http://www.wikidata.org/entity/Q4379701	http://www.wikidata.org/entity/Q6846270	Category:Esports players	5724	FALSE	FALSE	FALSE	FALSE	FALSE	0				
