	wdtEntity	category	categoryLabel	count	dbp_count
146	http://www.wikidata.org/entity/Q2944360	http://www.wikidata.org/entity/Q7119167	Category:Centenarians	7060	7
147	http://www.wikidata.org/entity/Q18074503	http://www.wikidata.org/entity/Q7154335	Category:Installation artists	7043	66
148	http://www.wikidata.org/entity/Q1415090	http://www.wikidata.org/entity/Q7044496	Category:Film score composers	6834	10
149	http://www.wikidata.org/entity/Q270948	http://www.wikidata.org/entity/Q6848090	Category:Action games	6760	500
150	http://www.wikidata.org/entity/Q1200678	http://www.wikidata.org/entity/Q7677812	Category:Mystery films	6627	16
151	http://www.wikidata.org/entity/Q5482740	http://www.wikidata.org/entity/Q6624060	Category:Computer programmers	6611	190
152	http://www.wikidata.org/entity/Q15705021	http://www.wikidata.org/entity/Q8619106	Category:Members of the Chamber of Representatives (Belgium)	6451	165
153	http://www.wikidata.org/entity/Q17231624	http://www.wikidata.org/entity/Q8586903	Category:Legionnaires of the Legion of Merit	6448	22
154	http://www.wikidata.org/entity/Q99762605	http://www.wikidata.org/entity/Q8000738	Category:Mayors of places in Romania	6381	43
155	http://www.wikidata.org/entity/Q9335576	http://www.wikidata.org/entity/Q6315267	Category:Comedy television series	6291	20
156	http://www.wikidata.org/entity/Q19658107	http://www.wikidata.org/entity/Q6486908	Category:Neighbourhoods in Brazil	6290	17
157	http://www.wikidata.org/entity/Q2143665	http://www.wikidata.org/entity/Q6529327	Category:Children's films	6201	20
158	http://www.wikidata.org/entity/Q8178443	http://www.wikidata.org/entity/Q8589394	Category:Librettists	6103	21
159	http://www.wikidata.org/entity/Q11088399	http://www.wikidata.org/entity/Q9533908	Category:Burials at Brno Central Cemetery	6038	13
160	http://www.wikidata.org/entity/Q3658608	http://www.wikidata.org/entity/Q5654546	Category:Caricaturists	6028	8
161	http://www.wikidata.org/entity/Q23833535	http://www.wikidata.org/entity/Q8472934	Category:French Resistance members	5942	500
162	http://www.wikidata.org/entity/Q52954	http://www.wikidata.org/entity/Q7024817	Category:Keyboard instruments	5923	115
163	http://www.wikidata.org/entity/Q3264451	http://www.wikidata.org/entity/Q8343931	Category:Cardiologists	5862	14
164	http://www.wikidata.org/entity/Q17013749	http://www.wikidata.org/entity/Q6428640	Category:Historical films	5842	16
165	http://www.wikidata.org/entity/Q204933	http://www.wikidata.org/entity/Q7135224	Category:People executed by decapitation	5826	144
166	http://www.wikidata.org/entity/Q13357858	http://www.wikidata.org/entity/Q8810997	Category:Badminton tournaments	5795	15
167	http://www.wikidata.org/entity/Q3391537	http://www.wikidata.org/entity/Q7228328	Category:Invasive plants	5757	4
168	http://www.wikidata.org/entity/Q64578911	http://www.wikidata.org/entity/Q8369630	Category:Defunct hospitals	5742	28
169	http://www.wikidata.org/entity/Q4379701	http://www.wikidata.org/entity/Q6846270	Category:Esports players	5724	10
170	http://www.wikidata.org/entity/Q2519376	http://www.wikidata.org/entity/Q7170324	Category:Jewellery designers	5697	43
171	http://www.wikidata.org/entity/Q3409032	http://www.wikidata.org/entity/Q7457995	Category:Unisex given names	5671	278
172	http://www.wikidata.org/entity/Q19796778	http://www.wikidata.org/entity/Q8683272	Category:Routes départementales in France	5639	4
173	http://www.wikidata.org/entity/Q1350157	http://www.wikidata.org/entity/Q8084952	Category:Music critics	5615	52
174	http://www.wikidata.org/entity/Q4176708	http://www.wikidata.org/entity/Q7445415	Category:Soundtrack albums	5611	0
175	http://www.wikidata.org/entity/Q28692502	http://www.wikidata.org/entity/Q8949038	Category:Women's rights activists	5568	89
176	http://www.wikidata.org/entity/Q4220892	http://www.wikidata.org/entity/Q8451559	Category:Film critics	5487	64
177	http://www.wikidata.org/entity/Q52162262	http://www.wikidata.org/entity/Q8126322	Category:Films based on literature	5447	13
178	http://www.wikidata.org/entity/Q2990963	http://www.wikidata.org/entity/Q6418690	Category:Figure skating competitions	5414	81
179	http://www.wikidata.org/entity/Q756	http://www.wikidata.org/entity/Q1457109	Category:Plants	5351	87
180	http://www.wikidata.org/entity/Q28841847	http://www.wikidata.org/entity/Q8620244	Category:Members of the Privy Council of the United Kingdom	5133	500
181	http://www.wikidata.org/entity/Q14972848	http://www.wikidata.org/entity/Q8587893	Category:Lexicographers	5122	92
182	http://www.wikidata.org/entity/Q7361618	http://www.wikidata.org/entity/Q7216500	Category:Roman Catholics	5063	21
183	http://www.wikidata.org/entity/Q165005	http://www.wikidata.org/entity/Q7711669	Category:Franciscans	5033	51
184	http://www.wikidata.org/entity/Q11696	http://www.wikidata.org/entity/Q7130129	Category:Presidents of the United States	4986	117
185	http://www.wikidata.org/entity/Q61744980	http://www.wikidata.org/entity/Q8445857	Category:Fellows of the American Mathematical Society	4982	500
186	http://www.wikidata.org/entity/Q1335064	http://www.wikidata.org/entity/Q7020596	Category:Recipients of the Military Cross	4946	500
