Item1,Item2,Item3,Item4,BestItem,WorstItem
Брюс Ли,Марк Аврелий,Раиса Максимовна Горбачёва,Мао Цзэдун,Мао Цзэдун,Раиса Максимовна Горбачёва
Брюс Ли,Марк Аврелий,Раиса Максимовна Горбачёва,Мао Цзэдун,Мао Цзэдун,Брюс Ли
Брюс Ли,Марк Аврелий,Раиса Максимовна Горбачёва,Мао Цзэдун,Мао Цзэдун,Брюс Ли
Брюс Ли,Марк Аврелий,Раиса Максимовна Горбачёва,Мао Цзэдун,Мао Цзэдун,Раиса Максимовна Горбачёва
Брюс Ли,Марк Аврелий,Раиса Максимовна Горбачёва,Мао Цзэдун,Марк Аврелий,Раиса Максимовна Горбачёва
Карл Маркс,Лев Давидович Троцкий,Раиса Максимовна Горбачёва,Махатма Ганди,Карл Маркс,Раиса Максимовна Горбачёва
Карл Маркс,Лев Давидович Троцкий,Раиса Максимовна Горбачёва,Махатма Ганди,Махатма Ганди,Раиса Максимовна Горбачёва
Марк Аврелий,Александр Гамильтон,Брюс Ли,Лев Николаевич Толстой,Марк Аврелий,Брюс Ли
Карл Маркс,Лев Давидович Троцкий,Раиса Максимовна Горбачёва,Махатма Ганди,Карл Маркс,Раиса Максимовна Горбачёва
Марк Аврелий,Александр Гамильтон,Брюс Ли,Лев Николаевич Толстой,Марк Аврелий,Брюс Ли
Брюс Ли,Марк Аврелий,Раиса Максимовна Горбачёва,Мао Цзэдун,Мао Цзэдун,Брюс Ли
Карл Маркс,Лев Давидович Троцкий,Раиса Максимовна Горбачёва,Махатма Ганди,Махатма Ганди,Раиса Максимовна Горбачёва
Марк Аврелий,Александр Гамильтон,Брюс Ли,Лев Николаевич Толстой,Марк Аврелий,Брюс Ли
Марк Аврелий,Александр Гамильтон,Брюс Ли,Лев Николаевич Толстой,Марк Аврелий,Брюс Ли
Марк Аврелий,Александр Гамильтон,Брюс Ли,Лев Николаевич Толстой,Марк Аврелий,Брюс Ли
Бенедикт XVI,Лев Давидович Троцкий,философия,Иоанн Павел II,философия,Лев Давидович Троцкий
Бенедикт XVI,Лев Давидович Троцкий,философия,Иоанн Павел II,Лев Давидович Троцкий,философия
Бенедикт XVI,Лев Давидович Троцкий,философия,Иоанн Павел II,философия,Бенедикт XVI
Бенедикт XVI,Лев Давидович Троцкий,философия,Иоанн Павел II,философия,Иоанн Павел II
Бенедикт XVI,Лев Давидович Троцкий,философия,Иоанн Павел II,философия,Бенедикт XVI
Фёдор Михайлович Достоевский,философия,Александр Гельевич Дугин,Ричард Харрис,философия,Ричард Харрис
