Item1,Item2,Item3,Item4,BestItem,WorstItem
"Мэри Поппинс, до свидания!",Коралина в Стране Кошмаров,Приключения Паддингтона,Арабелла,"Мэри Поппинс, до свидания!",Коралина в Стране Кошмаров
"Мэри Поппинс, до свидания!",Коралина в Стране Кошмаров,Приключения Паддингтона,Арабелла,Коралина в Стране Кошмаров,Арабелла
"Мэри Поппинс, до свидания!",Коралина в Стране Кошмаров,Приключения Паддингтона,Арабелла,"Мэри Поппинс, до свидания!",Коралина в Стране Кошмаров
"Мэри Поппинс, до свидания!",Маленький Мук,Морозко,Братец медвежонок,Морозко,"Мэри Поппинс, до свидания!"
"Мэри Поппинс, до свидания!",Маленький Мук,Морозко,Братец медвежонок,Морозко,Маленький Мук
"Мэри Поппинс, до свидания!",Маленький Мук,Морозко,Братец медвежонок,"Мэри Поппинс, до свидания!",Братец медвежонок
"Мэри Поппинс, до свидания!",Маленький Мук,Морозко,Братец медвежонок,Братец медвежонок,Маленький Мук
"Мэри Поппинс, до свидания!",Маленький Мук,Морозко,Братец медвежонок,Морозко,Маленький Мук
Арабелла,Красавица и Чудовище,Три орешка для Золушки,Золушка,Три орешка для Золушки,Арабелла
Арабелла,Красавица и Чудовище,Три орешка для Золушки,Золушка,Золушка,Красавица и Чудовище
Арабелла,Красавица и Чудовище,Три орешка для Золушки,Золушка,Золушка,Арабелла
Арабелла,Красавица и Чудовище,Три орешка для Золушки,Золушка,Красавица и Чудовище,Арабелла
Коралина в Стране Кошмаров,Братец медвежонок,Цветок тысяча одной ночи,Лиловый шар,Братец медвежонок,Лиловый шар
Коралина в Стране Кошмаров,Братец медвежонок,Цветок тысяча одной ночи,Лиловый шар,Цветок тысяча одной ночи,Братец медвежонок
Коралина в Стране Кошмаров,Братец медвежонок,Цветок тысяча одной ночи,Лиловый шар,Коралина в Стране Кошмаров,Братец медвежонок
"Мэри Поппинс, до свидания!",Золушка,Русалочка,Маленький Мук,Золушка,Маленький Мук
Коралина в Стране Кошмаров,Братец медвежонок,Цветок тысяча одной ночи,Лиловый шар,Коралина в Стране Кошмаров,Лиловый шар
"Мэри Поппинс, до свидания!",Золушка,Русалочка,Маленький Мук,Золушка,Маленький Мук
Багдадский вор,Лиловый шар,Красавица и Чудовище,Я тоже хочу,Красавица и Чудовище,Я тоже хочу
Багдадский вор,Лиловый шар,Красавица и Чудовище,Я тоже хочу,Красавица и Чудовище,Я тоже хочу
Багдадский вор,Лиловый шар,Красавица и Чудовище,Я тоже хочу,Красавица и Чудовище,Багдадский вор
Багдадский вор,Лиловый шар,Красавица и Чудовище,Я тоже хочу,Красавица и Чудовище,Я тоже хочу
Багдадский вор,Лиловый шар,Красавица и Чудовище,Я тоже хочу,Красавица и Чудовище,Я тоже хочу
Багдадский вор,Лиловый шар,Красавица и Чудовище,Я тоже хочу,Красавица и Чудовище,Я тоже хочу
"Мэри Поппинс, до свидания!",Золушка,Русалочка,Маленький Мук,Русалочка,"Мэри Поппинс, до свидания!"
