Item1,Item2,Item3,Item4,BestItem,WorstItem
action/RPG,God of War: Chains of Olympus,Resident Evil Village,Death Stranding,Resident Evil Village,action/RPG
action/RPG,God of War: Chains of Olympus,Resident Evil Village,Death Stranding,Resident Evil Village,action/RPG
симулятор выживания,Metal Gear Rising: Revengeance,The Last of Us Part II,action-adventure,Metal Gear Rising: Revengeance,симулятор выживания
симулятор выживания,Metal Gear Rising: Revengeance,The Last of Us Part II,action-adventure,Metal Gear Rising: Revengeance,симулятор выживания
симулятор выживания,Metal Gear Rising: Revengeance,The Last of Us Part II,action-adventure,action-adventure,Metal Gear Rising: Revengeance
симулятор выживания,Metal Gear Rising: Revengeance,The Last of Us Part II,action-adventure,action-adventure,симулятор выживания
симулятор выживания,Metal Gear Rising: Revengeance,The Last of Us Part II,action-adventure,action-adventure,симулятор выживания
симулятор выживания,Metal Gear Rising: Revengeance,The Last of Us Part II,action-adventure,The Last of Us Part II,action-adventure
Ratchet & Clank: Сквозь миры,Counter-Strike: Global Offensive,action-adventure,Return to Castle Wolfenstein,action-adventure,Ratchet & Clank: Сквозь миры
Ratchet & Clank: Сквозь миры,Counter-Strike: Global Offensive,action-adventure,Return to Castle Wolfenstein,action-adventure,Counter-Strike: Global Offensive
Ratchet & Clank: Сквозь миры,Counter-Strike: Global Offensive,action-adventure,Return to Castle Wolfenstein,Counter-Strike: Global Offensive,Ratchet & Clank: Сквозь миры
Ratchet & Clank: Сквозь миры,Counter-Strike: Global Offensive,action-adventure,Return to Castle Wolfenstein,action-adventure,Return to Castle Wolfenstein
Ratchet & Clank: Сквозь миры,Counter-Strike: Global Offensive,action-adventure,Return to Castle Wolfenstein,Counter-Strike: Global Offensive,Return to Castle Wolfenstein
Ratchet & Clank: Сквозь миры,Counter-Strike: Global Offensive,action-adventure,Return to Castle Wolfenstein,Ratchet & Clank: Сквозь миры,action-adventure
Death Stranding,Bayonetta,S.T.A.L.K.E.R. 2: Сердце Чернобыля,Dota 2,Death Stranding,Dota 2
