Item1,Item2,Item3,Item4,BestItem,WorstItem
George W. Bush,Wilhelm II,"Albert, Prince Consort",John Lennon,George W. Bush,Wilhelm II
George W. Bush,Wilhelm II,"Albert, Prince Consort",John Lennon,Wilhelm II,"Albert, Prince Consort"
Grimes,Jared Leto,Andrey Myagkov,Paul McCartney,Andrey Myagkov,Paul McCartney
Grimes,Jared Leto,Andrey Myagkov,Paul McCartney,Andrey Myagkov,Jared Leto
Grimes,Jared Leto,Andrey Myagkov,Paul McCartney,Andrey Myagkov,Jared Leto
Grimes,Jared Leto,Andrey Myagkov,Paul McCartney,Andrey Myagkov,Jared Leto
Grimes,Jared Leto,Andrey Myagkov,Paul McCartney,Andrey Myagkov,Grimes
Grimes,Jared Leto,Andrey Myagkov,Paul McCartney,Andrey Myagkov,Grimes
Kurt Cobain,John Lennon,Katherine García,Andrey Myagkov,Andrey Myagkov,Kurt Cobain
Kurt Cobain,John Lennon,Katherine García,Andrey Myagkov,Katherine García,John Lennon
Kurt Cobain,John Lennon,Katherine García,Andrey Myagkov,Andrey Myagkov,Kurt Cobain
Kurt Cobain,John Lennon,Katherine García,Andrey Myagkov,Andrey Myagkov,Katherine García
Kurt Cobain,John Lennon,Katherine García,Andrey Myagkov,Andrey Myagkov,Kurt Cobain
Kurt Cobain,John Lennon,Katherine García,Andrey Myagkov,Katherine García,Andrey Myagkov
Maria Feodorovna (Dagmar of Denmark),Paul McCartney,Freddie Mercury,Alexandra Feodorovna (Alix of Hesse),Alexandra Feodorovna (Alix of Hesse),Paul McCartney
Maria Feodorovna (Dagmar of Denmark),Paul McCartney,Freddie Mercury,Alexandra Feodorovna (Alix of Hesse),Alexandra Feodorovna (Alix of Hesse),Paul McCartney
Maria Feodorovna (Dagmar of Denmark),Paul McCartney,Freddie Mercury,Alexandra Feodorovna (Alix of Hesse),Maria Feodorovna (Dagmar of Denmark),Paul McCartney
Maria Feodorovna (Dagmar of Denmark),Paul McCartney,Freddie Mercury,Alexandra Feodorovna (Alix of Hesse),Maria Feodorovna (Dagmar of Denmark),Paul McCartney
Maria Feodorovna (Dagmar of Denmark),Paul McCartney,Freddie Mercury,Alexandra Feodorovna (Alix of Hesse),Maria Feodorovna (Dagmar of Denmark),Paul McCartney
Johnson,Viktor Tsoi,Battle on the Court,Law & Order,Viktor Tsoi,Law & Order
Johnson,Viktor Tsoi,Battle on the Court,Law & Order,Viktor Tsoi,Law & Order
Johnson,Viktor Tsoi,Battle on the Court,Law & Order,Viktor Tsoi,Battle on the Court
Johnson,Viktor Tsoi,Battle on the Court,Law & Order,Viktor Tsoi,Battle on the Court
Johnson,Viktor Tsoi,Battle on the Court,Law & Order,Viktor Tsoi,Law & Order
Johnson,Viktor Tsoi,Battle on the Court,Law & Order,Viktor Tsoi,Law & Order
Kurt Cobain,Maria Feodorovna (Dagmar of Denmark),Paul McCartney,"Albert, Prince Consort",Maria Feodorovna (Dagmar of Denmark),Paul McCartney
Kurt Cobain,Maria Feodorovna (Dagmar of Denmark),Paul McCartney,"Albert, Prince Consort",Maria Feodorovna (Dagmar of Denmark),"Albert, Prince Consort"
Kurt Cobain,Maria Feodorovna (Dagmar of Denmark),Paul McCartney,"Albert, Prince Consort","Albert, Prince Consort",Paul McCartney
Kurt Cobain,Maria Feodorovna (Dagmar of Denmark),Paul McCartney,"Albert, Prince Consort","Albert, Prince Consort",Kurt Cobain
Kurt Cobain,Maria Feodorovna (Dagmar of Denmark),Paul McCartney,"Albert, Prince Consort",Kurt Cobain,"Albert, Prince Consort"
Freddie Mercury,"Albert, Prince Consort",John Lennon,George W. Bush,"Albert, Prince Consort",Freddie Mercury
Freddie Mercury,"Albert, Prince Consort",John Lennon,George W. Bush,John Lennon,"Albert, Prince Consort"
Freddie Mercury,"Albert, Prince Consort",John Lennon,George W. Bush,"Albert, Prince Consort",Freddie Mercury
Freddie Mercury,"Albert, Prince Consort",John Lennon,George W. Bush,"Albert, Prince Consort",George W. Bush
Freddie Mercury,"Albert, Prince Consort",John Lennon,George W. Bush,"Albert, Prince Consort",George W. Bush
Freddie Mercury,"Albert, Prince Consort",John Lennon,George W. Bush,George W. Bush,Freddie Mercury
Kurt Cobain,Grimes,Paul McCartney,"Albert, Prince Consort",Paul McCartney,"Albert, Prince Consort"
Kurt Cobain,Grimes,Paul McCartney,"Albert, Prince Consort","Albert, Prince Consort",Kurt Cobain
Kurt Cobain,Grimes,Paul McCartney,"Albert, Prince Consort","Albert, Prince Consort",Kurt Cobain
Kurt Cobain,Grimes,Paul McCartney,"Albert, Prince Consort","Albert, Prince Consort",Kurt Cobain
Kurt Cobain,Grimes,Paul McCartney,"Albert, Prince Consort",Kurt Cobain,Grimes
"Albert, Prince Consort",Jared Leto,Viggo Mortensen,George W. Bush,Jared Leto,Viggo Mortensen
"Albert, Prince Consort",Jared Leto,Viggo Mortensen,George W. Bush,"Albert, Prince Consort",Jared Leto
"Albert, Prince Consort",Jared Leto,Viggo Mortensen,George W. Bush,George W. Bush,Jared Leto
"Albert, Prince Consort",Jared Leto,Viggo Mortensen,George W. Bush,"Albert, Prince Consort",George W. Bush
"Albert, Prince Consort",Jared Leto,Viggo Mortensen,George W. Bush,Viggo Mortensen,"Albert, Prince Consort"
"Albert, Prince Consort",Jared Leto,Viggo Mortensen,George W. Bush,George W. Bush,"Albert, Prince Consort"
"Victoria, Princess Royal",Freddie Mercury,Johann Wolfgang von Goethe,Grimes,Johann Wolfgang von Goethe,Freddie Mercury
"Victoria, Princess Royal",Freddie Mercury,Johann Wolfgang von Goethe,Grimes,Grimes,Freddie Mercury
"Victoria, Princess Royal",Freddie Mercury,Johann Wolfgang von Goethe,Grimes,Johann Wolfgang von Goethe,Freddie Mercury
"Victoria, Princess Royal",Freddie Mercury,Johann Wolfgang von Goethe,Grimes,Johann Wolfgang von Goethe,Grimes
"Victoria, Princess Royal",Freddie Mercury,Johann Wolfgang von Goethe,Grimes,Johann Wolfgang von Goethe,"Victoria, Princess Royal"
"Victoria, Princess Royal",Freddie Mercury,Johann Wolfgang von Goethe,Grimes,Johann Wolfgang von Goethe,Grimes
Paul McCartney,Viggo Mortensen,Maria Feodorovna (Dagmar of Denmark),John Lennon,Maria Feodorovna (Dagmar of Denmark),Viggo Mortensen
Paul McCartney,Viggo Mortensen,Maria Feodorovna (Dagmar of Denmark),John Lennon,John Lennon,Maria Feodorovna (Dagmar of Denmark)
Paul McCartney,Viggo Mortensen,Maria Feodorovna (Dagmar of Denmark),John Lennon,Viggo Mortensen,Paul McCartney
Paul McCartney,Viggo Mortensen,Maria Feodorovna (Dagmar of Denmark),John Lennon,Maria Feodorovna (Dagmar of Denmark),Paul McCartney
Paul McCartney,Viggo Mortensen,Maria Feodorovna (Dagmar of Denmark),John Lennon,Maria Feodorovna (Dagmar of Denmark),Paul McCartney
"Victoria, Princess Royal",Viktor Tsoi,"Albert, Prince Consort",Freddie Mercury,Viktor Tsoi,Freddie Mercury
"Victoria, Princess Royal",Viktor Tsoi,"Albert, Prince Consort",Freddie Mercury,Viktor Tsoi,Freddie Mercury
"Victoria, Princess Royal",Viktor Tsoi,"Albert, Prince Consort",Freddie Mercury,Viktor Tsoi,"Albert, Prince Consort"
"Victoria, Princess Royal",Viktor Tsoi,"Albert, Prince Consort",Freddie Mercury,Viktor Tsoi,Freddie Mercury
"Victoria, Princess Royal",Viktor Tsoi,"Albert, Prince Consort",Freddie Mercury,Viktor Tsoi,Freddie Mercury
"Victoria, Princess Royal",Viktor Tsoi,"Albert, Prince Consort",Freddie Mercury,"Albert, Prince Consort","Victoria, Princess Royal"
Paul McCartney,Mount Elbrus,Maria Schultz,DreamWorks Animation,Maria Schultz,Paul McCartney
Paul McCartney,Mount Elbrus,Maria Schultz,DreamWorks Animation,Maria Schultz,Mount Elbrus
Paul McCartney,Mount Elbrus,Maria Schultz,DreamWorks Animation,Maria Schultz,Mount Elbrus
Paul McCartney,Mount Elbrus,Maria Schultz,DreamWorks Animation,Maria Schultz,Mount Elbrus
Katherine García,Jared Leto,"Victoria, Princess Royal",Viggo Mortensen,Katherine García,Jared Leto
Katherine García,Jared Leto,"Victoria, Princess Royal",Viggo Mortensen,Katherine García,"Victoria, Princess Royal"
Katherine García,Jared Leto,"Victoria, Princess Royal",Viggo Mortensen,Katherine García,Jared Leto
Katherine García,Jared Leto,"Victoria, Princess Royal",Viggo Mortensen,Jared Leto,Viggo Mortensen
Katherine García,Jared Leto,"Victoria, Princess Royal",Viggo Mortensen,Jared Leto,"Victoria, Princess Royal"
Katherine García,Jared Leto,"Victoria, Princess Royal",Viggo Mortensen,Katherine García,Jared Leto
Sarah Chatto,"Victoria, Princess Royal",Alexandra Feodorovna (Alix of Hesse),Grimes,Sarah Chatto,Alexandra Feodorovna (Alix of Hesse)
Sarah Chatto,"Victoria, Princess Royal",Alexandra Feodorovna (Alix of Hesse),Grimes,Alexandra Feodorovna (Alix of Hesse),"Victoria, Princess Royal"
Sarah Chatto,"Victoria, Princess Royal",Alexandra Feodorovna (Alix of Hesse),Grimes,Sarah Chatto,"Victoria, Princess Royal"
Sarah Chatto,"Victoria, Princess Royal",Alexandra Feodorovna (Alix of Hesse),Grimes,Sarah Chatto,Alexandra Feodorovna (Alix of Hesse)
Sarah Chatto,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen,Wilhelm II,Alexandra Feodorovna (Alix of Hesse),Wilhelm II
Sarah Chatto,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen,Wilhelm II,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen
Sarah Chatto,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen,Wilhelm II,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen
Sarah Chatto,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen,Wilhelm II,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen
Sarah Chatto,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen,Wilhelm II,Viggo Mortensen,Alexandra Feodorovna (Alix of Hesse)
Sarah Chatto,Alexandra Feodorovna (Alix of Hesse),Viggo Mortensen,Wilhelm II,Sarah Chatto,Wilhelm II
Sarah Chatto,Wilhelm II,Maria Feodorovna (Dagmar of Denmark),Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,Sarah Chatto
Sarah Chatto,Wilhelm II,Maria Feodorovna (Dagmar of Denmark),Johann Wolfgang von Goethe,Maria Feodorovna (Dagmar of Denmark),Johann Wolfgang von Goethe
Sarah Chatto,Wilhelm II,Maria Feodorovna (Dagmar of Denmark),Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,Maria Feodorovna (Dagmar of Denmark)
Sarah Chatto,Wilhelm II,Maria Feodorovna (Dagmar of Denmark),Johann Wolfgang von Goethe,Sarah Chatto,Maria Feodorovna (Dagmar of Denmark)
Sarah Chatto,Wilhelm II,Maria Feodorovna (Dagmar of Denmark),Johann Wolfgang von Goethe,Maria Feodorovna (Dagmar of Denmark),Sarah Chatto
Katherine García,Maria Feodorovna (Dagmar of Denmark),George W. Bush,"Victoria, Princess Royal",Maria Feodorovna (Dagmar of Denmark),George W. Bush
Katherine García,Maria Feodorovna (Dagmar of Denmark),George W. Bush,"Victoria, Princess Royal",Maria Feodorovna (Dagmar of Denmark),George W. Bush
Katherine García,Maria Feodorovna (Dagmar of Denmark),George W. Bush,"Victoria, Princess Royal",Maria Feodorovna (Dagmar of Denmark),George W. Bush
Katherine García,Maria Feodorovna (Dagmar of Denmark),George W. Bush,"Victoria, Princess Royal",Katherine García,George W. Bush
Katherine García,Maria Feodorovna (Dagmar of Denmark),George W. Bush,"Victoria, Princess Royal",Katherine García,George W. Bush
Katherine García,Maria Feodorovna (Dagmar of Denmark),George W. Bush,"Victoria, Princess Royal",Katherine García,"Victoria, Princess Royal"
George W. Bush,Kurt Cobain,Katherine García,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,George W. Bush
George W. Bush,Kurt Cobain,Katherine García,Johann Wolfgang von Goethe,Katherine García,George W. Bush
George W. Bush,Kurt Cobain,Katherine García,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,George W. Bush
George W. Bush,Kurt Cobain,Katherine García,Johann Wolfgang von Goethe,Johann Wolfgang von Goethe,Kurt Cobain
George W. Bush,Kurt Cobain,Katherine García,Johann Wolfgang von Goethe,Katherine García,George W. Bush
Viktor Tsoi,Alexandra Feodorovna (Alix of Hesse),Maria Feodorovna (Dagmar of Denmark),Kurt Cobain,Alexandra Feodorovna (Alix of Hesse),Kurt Cobain
Viktor Tsoi,Alexandra Feodorovna (Alix of Hesse),Maria Feodorovna (Dagmar of Denmark),Kurt Cobain,Viktor Tsoi,Kurt Cobain
Viktor Tsoi,Alexandra Feodorovna (Alix of Hesse),Maria Feodorovna (Dagmar of Denmark),Kurt Cobain,Maria Feodorovna (Dagmar of Denmark),Kurt Cobain
Viktor Tsoi,Alexandra Feodorovna (Alix of Hesse),Maria Feodorovna (Dagmar of Denmark),Kurt Cobain,Viktor Tsoi,Kurt Cobain
